آس	pa	آسَ
آندر	pa	آنَدَرَ
آنڈا	pa	آنَڈا
آواز	pa	آوازَ
آٹا	pa	آٹا
آکاش	pa	آکاشَ
آکڑ	pa	آکَڑَ
ابا	pa	ابا
اسر	pa	اسُرَ
اصفہان	pa	اصْفَہانَ
امل	pa	امَلَ
انار	pa	انارَ
اناناس	pa	اناناسَ
انگی	pa	انَگی
اوداں	pa	اوداں
اٹاری	pa	اٹاری
اگ	pa	اگَ
بادام	pa	بادامَ
باری	pa	باری
باسی	pa	باسی
باقی	pa	باقی
بتی	pa	بَتی
برا	pa	بُرا
برف	pa	بَرَفَ
بسنت	pa	بَسَنْتَ
بندی	pa	بِنَدی
بنڈ	pa	بُنْڈَ
بنگالی	pa	بَنَگالی
بڑا	pa	بَڑا
بکری	pa	بَکَری
بیماری	pa	بیماری
تار	pa	تارَ
تارا	pa	تارا
تارے	pa	تارے
تری	pa	تُری
تساں	pa	تُساں
تسیں	pa	تُسیں
تصویر	pa	تَصویرَ
تفسیر	pa	تَفَسیرَ
تند	pa	تَنْدَ
تند	pa	تُنْدَ
توتا	pa	توتا
تکے	pa	تَکے
تکے	pa	تِکے
تہاڈا	pa	تُہاڈا
تہمت	pa	تُہَمَتَ
تے	pa	تے
جال	pa	جالَ
جانجی	pa	جانَجی
جاپدا	pa	جاپَدا
جت	pa	جِتَ
جتی	pa	جُتی
جدوں	pa	جَدوں
جنت	pa	جَنَتَ
جنج	pa	جَنْجَ
جنج	pa	جِنْجَ
جوڑا	pa	جوڑا
جوگا	pa	جوگا
جگ	pa	جَگَ
جگ	pa	جَگَ
جیت	pa	جیتَ
جے	pa	جے
حرف	pa	حَرْفَ
حرف	pa	حَرَفَ
حق	pa	حَقَ
خطا	pa	خَطا
داج	pa	داجَ
دادا	pa	دادا
دبئی	pa	دُبئی
دستار	pa	دَسَتارَ
دسدا	pa	دَسَدا
دسدا	pa	دِسَدا
دغا	pa	دَغا
دفتر	pa	دَفَتَرَ
دلوں	pa	دِلوں
دلچسپ	pa	دِلَچَسْپَ
دن	pa	دِنَ
دو	pa	دو
دہ	pa	دَہَ
دیپک	pa	دیپَکَ
دیپکا	pa	دیپِکا
رات	pa	راتَ
راخش	pa	راخَشَ
راوی	pa	راوی
رب	pa	رَبَ
ربا	pa	رَبا
رت	pa	رَتَ
رت	pa	رُتَ
رنڈی	pa	رَنَڈی
رو	pa	رو
زبان	pa	زَبانَ
زبان	pa	زَبانَ
زلف	pa	زُلْفَ
زمین	pa	زَمینَ
زمیں	pa	زِمیں
زنانی	pa	زَنانی
ساہ	pa	ساہَ
سدا	pa	سَدا
سدا	pa	سَدا
سر	pa	سِرَ
سرائیکی	pa	سِرائیکی
سردار	pa	سَرَدارَ
سرکار	pa	سَرَکارَ
سلام	pa	سَلامَ
سوموار	pa	سوموارَ
سوچ	pa	سوچَ
سٹوری	pa	سْٹوری
سچا	pa	سَچا
سچا	pa	سُچا
سہا	pa	سَہا
سہی	pa	سَہی
شام	pa	شامَ
شاگرد	pa	شاگِرْدَ
شاہ	pa	شاہَ
شاہاں	pa	شاہاں
شرارت	pa	شَرارَتَ
شوخا	pa	شوخا
شکر	pa	شَکَرَ
شکر	pa	شَکْرَ
شکر	pa	شُکَرَ
شکر	pa	شُکْرَ
شگر	pa	شُگَرَ
صبر	pa	صَبَرَ
صفت	pa	صِفَتَ
طوطا	pa	طوطا
غذا	pa	غَذا
غلط	pa	غَلَطَ
غم	pa	غَمَ
غنیمت	pa	غَنیمَتَ
دا	pa	دا
فجر	pa	فَجَرَ
فجر	pa	فَجَرَ
فوڑ	pa	فوڑَ
قسمت	pa	قِسَمَتَ
لارا	pa	لارا
لاری	pa	لاری
لت	pa	لَتَ
لتاں	pa	لَتاں
لتر	pa	لِتَرَ
لداخ	pa	لَداخَ
لفظ	pa	لَفْظَ
لفظ	pa	لَفَظَ
لفظ	pa	لَفَظَ
للی	pa	لُلی
لما	pa	لَما
لن	pa	لَنَ
لوڑ	pa	لوڑَ
لک	pa	لَکَ
لیتا	pa	لیتا
لیتا	pa	لیتا
ماسٹر	pa	ماسَٹَرَ
ماسی	pa	ماسی
ماسی	pa	ماسی
ماڑا	pa	ماڑا
ماں	pa	ماں
ماہی	pa	ماہی
ماہیا	pa	ماہیا
مرنا	pa	مَرَنا
مزید	pa	مَزیدَ
مسکان	pa	مُسَکانَ
مسیت	pa	مَسیتَ
مصر	pa	مِصَرَ
مل	pa	مُلَ
ملک	pa	مُلَکَ
منجی	pa	مَنَجی
