# Persian↔Tajik↔IPA parallel corpus — the FULL Shahnameh, hemistich-aligned (5375 lines, ~31k in-context words).
# fa: Ferdowsi's Shahnameh (Ganjoor api.ganjoor.net, all 777 poems / 99k hemistichs; Ferdowsi = public domain).
# tg: Shahnameh in Tajik Cyrillic (HF TajikNLPWorld/shahnameh-tajik-corpus, 8 jilds / 91k hemistichs, CC-BY-SA-4.0).
# Aligned by EXACT CONSONANT-SKELETON match (drop the matres ا و ی — Tajik writes short u→و / izofat -и→ی the abjad omits).
# High-precision (one variant word breaks a match → 5.8% recall); positional drift is irrelevant (hash match).
# ipa: Tajik-derived Persian IPA (tajik-align remap + Iranian short i→e/u→o/final-ه→e). SILVER (~71%). The sentence
# CONTEXT here is the point — training data for the homograph/ezafe model past the word-level shared-merger ceiling.
# fa<TAB>tg<TAB>ipa
ابا آب شیر اندر آرم به جوی	Або об шир андарорам ба ҷӯй.	ʔabɒ ʔɒb ʃer ʔandarɒram ba d͡ʒoj
ابا انده و درد انباز گشت	Або андуҳу дард анбоз гашт.	ʔabɒ ʔandoho dard ʔanbɒz ɡaʃt
ابا باده و رود و گردان بهم	Або бодаву руду гурдон ба ҳам,	ʔabɒ bɒdawo rodo ɡordɒn ba ham
ابا بازداران صد و شست باز	Або боздорон саду шаст боз,	ʔabɒ bɒzdɒrɒn sado ʃast bɒz
ابا پهلوانان ایران به هم	Або паҳлавонони Эрон ба ҳам	ʔabɒ pahlawɒnɒne jerɒn ba ham
ابا پهلوانان چنین گفت شاه	Або паҳлавонон чунин гуфт шоҳ,	ʔabɒ pahlawɒnɒn t͡ʃonen ɡoft ʃɒh
ابا پهلوانی فزون آمدند	Або паҳлавонӣ фузун омаданд.	ʔabɒ pahlawɒne fozon ʔɒmadand
ابا پیلتن سوی دستان کشید	Або пилтан сӯи Дастон кашид.	ʔabɒ peltan soje dastɒn kaʃed
ابا پیل و با گنج و با خواسته	Або пилу бо ганҷу бо хоста	ʔabɒ pelo bɒ ɡand͡ʒo bɒ χɒsta
ابا تاج و با طوق و باگوشوار	Або тоҷу бо тавқу бо гӯшвор,	ʔabɒ tɒd͡ʒo bɒ tawqo bɒ ɡoʃwɒr
ابا تاج و با گنج نادیده رنج	Або тоҷу бо ганҷ, нодида ранҷ,	ʔabɒ tɒd͡ʒo bɒ ɡand͡ʒ nɒdeda rand͡ʒ
ابا تازی اسپان و پیلان و گنج	Або тозиаспону пилону ганҷ.	ʔabɒ tɒzeaspɒno pelɒno ɡand͡ʒ
ابا جاودان ساختم کارزار	Або ҷодувон сохтам корзор.	ʔabɒ d͡ʒɒdowɒn sɒχtam kɒrzɒr
ابا چرخها تنگ بسته میان	Або чархҳо танг баста миён.	ʔabɒ t͡ʃarχhɒ tanɡ basta mejɒn
ابا خنجر و روزبانان و تشت	Або ханҷару рӯзбонону ташт.	ʔabɒ χand͡ʒaro rozbɒnɒno taʃt
ابا خواست یزدانش چاره نماند	Або хости Яздон-ш чора намонд,	ʔabɒ χɒste jazdɒn ʃ t͡ʃɒra namɒnd
ابا دختران اندر آمد نوان	Або духтарон андаромад навон.	ʔabɒ doχtarɒn ʔandarɒmad nawɒn
ابا ده هزار آزموده سوار	Або даҳ ҳазор озмуда савор	ʔabɒ dah hazɒr ʔɒzmoda sawɒr
ابا رای زن سرو شاه یمن	Або ройзан Сарв-шоҳи Яман.	ʔabɒ rɒjzan sarw ʃɒhe jaman
ابا رخش بر خیره پیکار کرد	Або Рахш бар хира пайкор кард,	ʔabɒ raχʃ bar χera pajkɒr kard
ابا رستم و گیو گودرز و طوس	Або Рустаму Геви Гударзу Тус	ʔabɒ rostamo ɡewe ɡodarzo tos
ابا رستم و نامور مهتران	Або Рустаму номвар меҳтарон.	ʔabɒ rostamo nɒmwar mehtarɒn
ابا روزبانان مردم‌کشان	Або рӯзбонону мардумкушон	ʔabɒ rozbɒnɒno mardomkoʃɒn
ابا زال و با لشکر و پیل و کوس	Або Золу бо лашкару пилу кӯс,	ʔabɒ zɒlo bɒ laʃkaro pelo kos
ابا ژنده پیلان و با خواسته	Або жандапилону бо хоста	ʔabɒ ʒandapelɒno bɒ χɒsta
ابا ژنده‌پیل و تبیره شدند	Або жандапилу табира шуданд.	ʔabɒ ʒandapelo tabera ʃodand
ابا شاه روی اندر آرم بروی	Або шоҳ рӯй андарорам ба рӯй.	ʔabɒ ʃɒh roj ʔandarɒram ba roj
