# Hebrew (he) — UNANIMOUS 3-REFEREE consensus gold: vocalized-form <TAB> canonical Modern-Israeli IPA.
# Built from words where THREE INDEPENDENT referees agree after canonicalization (strip stress/tie, unwrap
# Wiktionary optional-parens): Wiktionary a=IL (lexicographic) + Phonikud (rule-FST, CC-BY) + ReNikud
# (audio-supervised, CC-BY). Unanimity of three different methodologies = high-confidence gold for validating
# the Phase-1 g2p (a rule change is accepted iff it RAISES agreement here). Where the three disagree, the word
# is EXCLUDED (genuine ambiguity/convention, not a validation target). Regenerate: tools/hebrew/build-consensus-gold.py.
# Eval-only (never shipped in the model). Run 11.
אֱגוֹז	ʔeɡoz
אֱדוֹם	ʔadom
אֱמֶת	ʔemet
אֲבִימֶלֶךְ	ʔavimeleχ
אֲבִישָׁלוֹם	ʔaviʃalom
אֲהוּבָה	ʔahuva
אֲנִי	ʔani
אֲרִיאֵל	ʔaʁiʔel
אֲרוּחָה	ʔaʁuχa
אִחֵד	ʔeχad
אִישִׁית	ʔiʃit
אִישָׁהּ	ʔiʃa
אִישׁ	ʔiʃ
אֵבוֹלוּצְיוֹנִי	ʔevolutsjoni
אֵזוֹר	ʔezoʁ
אֵל	ʔel
אֵפֶר	ʔefeʁ
אֵפוֹד	ʔefod
אֵשֶׁל	ʔeʃel
אֵשׁ	ʔeʃ
אֶבוֹלוּצְיָה	ʔevolutsja
אֶלֶף	ʔelef
אֶצְבַּע	ʔetsba
אֶשֶׁךְ	ʔeʃeχ
אֶתְגָּר	ʔetɡaʁ
אֶתְמוֹל	ʔetmol
אַבְזָם	ʔavzam
אַבְזָקַת	ʔavzakat
אַבְשָׁלוֹם	ʔavʃalom
אַדִּיר	ʔadiʁ
אַחַת	ʔaχat
אַכְזָרִי	ʔaχzaʁi
אַלּוּף	ʔaluf
אַרְבַּע	ʔaʁba
אַרְיֵה	ʔaʁje
אַרְכִיטֶקְטוּרָה	ʔaʁχitektuʁa
אַרְנֶבֶת	ʔaʁnevet
אַרְנָב	ʔaʁnav
אַשְׁדּוֹד	ʔaʃdod
אַשּׁוּר	ʔaʃuʁ
אַתֶּם	ʔatem
אַתָּה	ʔata
אָב	ʔav
אָבִיב	ʔaviv
