# KRNB BH — extracted from Toulmin (2006) Appendix A "Comparative KRNB wordlists" (ANU open-access, openresearch-repository.anu.edu.au). Devanagari\tIPA. Derived reflex data; provenance: Toulmin 2006 PhD, ANU.
आगोन	agon
ओइ	ojmɔt̪on
अतला	ɔt̪olaa
ओइ	oinaxanoi
आटो	aʈo
आट	aʈ
आङु	aŋur
आंठा	aŋʈa
आङठी	aŋʈi
अगुन	oɣunag
आकाली	akali
आिज	aʣi
आटा	aʈa
आम	am
आर	ar
आदा	ad̪a
आलु	alu
आधा	ad̪ʱa
आलो	alo
एमरा	ɛmra
उट	uʈu
उकु	ukun
एइ	einaxanei
एक	ɛke
एला	ɛlae
एतला	ɛt̪olae
उङाय़	uŋæi
ओसार	oʃaro
ओठ	oʈ
ठोट	ʈʰoʈo
कठीन	koʈin
कतला	kɔt̪ola
कम	kɔm
कथा	kɔt̪a
कमर	kɔmor
कनेक	kɔnek
कपाल	kɔpal
कपुर	kopur
कर	kɔr
कलसी	kolʃi
कला	kɔla
काकड़ा	kaxɽa
काटा	kaʈa
फाकतानी	pʰakt̪ani
काटोल	kaʈol
कापर	kapor
कादो	kad̪o
कान	kan
कामार	kamar
कारन	karon
काना	kana
कापाश	kapaʃ
काला	kala
कािहनी	kahini
कोमला	komla
कोनबेला	konbela
खाट	kʰaʈɔ
खलान	kʰɔlan
खापर	kʰapor
खापड़ी	kʰapri
खाजुर	kʰaʣur
खाट	kʰaʈ
खुब	kʰub
खुप	kʰup
खुशी	kʰuʃi
खेर	kʰɛr
खेद	kʰɛt̪
खोकर	kʰokor
गबर	gɔwor
गोम	gom
गरम	gɔrom
गिहन	gohin
गाजर	gaʣor
गाल	gal
गाला	gala
गाव	gaw
गेल	gel
िगल	gil
गुहा	guæg
गोलेय़ा	goleja
गोल	gol
गहन	gɔhon
घार	gʱar
घर	gʱɔr
घाश	kʱaʃ
घाटा	gʱaʈa
िघलु	gʱilu
चामड़ा	samɽa
बेङेर	bɛŋɛrsat̪a
छाल	salb
छाओय़ा	sawabo
छान	san
जङल	ʣɔŋol
जङ	ʣɔŋ
जङोली	ʣɔŋoli
जतला	ʣɔt̪ola
जर	ʣɔr
जल	ʣɔl
जोदी	ʣod̪i
जेदु	ʣɛd̪u
जय़ाब	ʣɔwap
जिमन	ʣomin
जाहाज	ʣahas
जार	ʣar
जाल	ʣal
िजिनश	ʣiniʃ
जागा	ʣaɣa
िजटी	ʣiʈi
जेला	ʣɛla
जोक	ʣok
जोनाक	ʣonak
जोर	ʣor
झरा	ʣʱɔra
झोल	ʣʱol
झुल	ʣʱul
िझत	ʣʱit̪
टशा	ʈɔʃa
टेप	ʈep
टप	ʈip
टेङा	ʈɛŋa
टेिड़आ	ʈeɽiæ
ठीक	ʈʰik
डाट	ɖaʈ
डाङ	ɖaŋ
डाङर	ɖaŋor
डाश	ɖaʃ
डेना	ɖɛna
ढाक	ɖʱakw
ढाङा	ɖʱaŋa
ढोल	ɖʱol
तक	t̪ɔk
तामा	t̪amanlae
तलत	t̪ɔlot̪
तामा	t̪ama
तारा	t̪ara
ितन	t̪in
ताला	t̪ala
तालु	t̪alu
ितर	t̪ir
तेर	t̪ɛro
याल	t̪ɛl
तुष	t̪uʃ
तोमरा	t̪omra
तेितली	t̪et̪li
तलमु	t̪olmu
थाल	t̪ʰal
दज	d̪orʣi
दश	d̪ɔʃ
दाना	d̪ana
दाम	d̪am
दात	d̪at̪
दामी	d̪ami
दामरा	d̪amɽa
दुध	d̪ut̪d
दन	d̪in
दुिनय़ा	d̪uniæd
दुर	d̪urd
दुइ	d̪uidi
दुओर	d̪uordo
दोकान	d̪okan
दोष	d̪os
धातु	t̪ʱat̪u
धुमा	d̪ʱumæ
देहा	d̪eha
धरे	d̪ʱɔrea
िधरे	d̪ʱired̪ʱire
धनी	d̪ʱoni
धुन	d̪ʱon
धुन	d̪ʱun
धान	d̪ʱan
धोपा	d̪ʱopa
धोका	d̪ʱoka
नदी	nod̪i
ननद	nɔnot̪
नर	nɔr
नरम	nɔrom
नाङल	naŋol
नार	nar
नेङ	neŋʈiæ
नाम	nam
नाक	nak
िनमक	nimok
नारी	nari
िनलुय़ा	niluæ
नाला	nala
नुन	nun
पखी	poxi
पोय़ाल	poal
पाच	pas
पाका	paxa
पाटी	paʈi
पाखा	paxa
पाखना	paxna
पातला	pat̪la
पाता	pat̪a
पारिन	parni
पारो	paro
पात	pat̪
पातर	pat̪or
पानी	pani
िपटी	piʈi
पोछ	pos
पोत	pot̪
पुत	put̪
िपतल	pit̪ol
पुब	pub
पुरक	purok
पेट	pɛʈ
पेिड़र	perird̪at̪
पेन	penʈi
पोका	poka
पुल	pul
राती	rat̪ipua
पोशा	poʃa
फटफटा	pʰɔʈpʰoʈa
फाल	pʰal
फम	pʰɔm
नाके	nakɛrpʰoroŋ
फर	pʰiɽ
फल	pʰɔl
बकड़ी	bokɽi
बदले	bɔd̪olɛ
बगलत	bɔgolot̪
बोसती	boʃti
बरफ	bɔro
नाइले	naile
बाकला	bakla
बाँस	baʃ
बाँओ	bao
बाङ	baŋ
बागान	baɣan
बाघ	bak
बाइगोन	bajgon
बाङा	baŋi
बादाम	bad̪am
बादामी	bad̪ami
बाछु	basur
बादे	bad̪ɛ
बान	ban
बातास	bat̪aʃ
बािनय़ा	baniæ
बार	baro
बाला	bala
बाओ	baw
िबलाइ	bilæi
िबष	biʃ
िबछना	bisiɳæ
िबश	biʃ
िबयान	biæn
बोन	bon
बुन	bun
बुट	buʈ
बेङ	bɛŋ
बेटाछाओय़ा	bɛʈasawa
बेटीचाओय़ा	beʈisæwa
बेिश	beʃi
बेदलेङ	bɛd̪lɛŋ
बोदय़	bod̪ɔj
बेला	bɛla
भरा	bʱɔra
भाल	bʱaln
भात	bʱat̪n
भालुक	bʱalukn
भाप	bʱapn
भुइ	bʱuini
भुल	bʱul
भइष	bʱoiʃni
भुिष	bʱuʃin
भोर	bʱor
मँगलबार	mɔŋgolbar
मटर	mɔʈor
मरोन	mɔron
मद	mɔt̪
मधु	mod̪u
माग	mak
माकर	makor
माखन	maxon
माजा	maʣa
मान	man
माटी	maʈi
माफ	map
माता	mat̪a
मास	maʃ
मानशी	manʃi
मुख	muk
मुटी	muʈi
मुत	mut̪
याघ	mɛk
मेला	mɛla
मुग	murgi
मोच	mos
मोटा	moʈa
मरा	mora
मशा	moʃa
नहा	noha
नगत	nɔgot̪
नेङड़ा	nɛŋɽa
नाल	nal
नालच	nalos
याकड़ा	nɛkra
नेटु	neʈu
नालस	naloʃ
लोक	lok
लोब	lo
अबबार	ɔbbara
नक	nɔk
रग	rɔk
रशुन	noʃun
रङ	rɔŋ
नाजा	naʣa
आजा	aʣa
राित	rat̪i
नाित	nat̪i
राग	rak
राज	raʣhaʃ
हास	haʃi
नोत	not̪
रौत	rot̪
शलेया	ʃɔlea
शामुक	ʃamuk
शमबार	ʃɔmbar
शेख	ʃekʰ
शुकुरबार	ʃukurwær
िशय़ानी	ʃiæni
शोन	ʃon
शुन	ʃun
शेमाश	ʃɛmaʃ
िशल	ʃil
शेमला	ʃɛmla
शेशा	ʃɛʃa
शेष	ʃɛʃ
षार	ʃargoɭu
शड़क	ʃɔrok
शउक	ʃowk
सँसार	ʃɔŋʃar
साकाल	ʃakal
सरल	ʃɔrol
साप	ʃap
सरा	ʃɔra
सागर	ʃagor
सात	ʃat̪
सातत	ʃat̪ot̪
साल	ʃal
शह	ʃiŋɔ
शुक	ʃuk
शोत	ʃot̪
शुत	ʃut̪
सुतली	ʃut̪li
सेला	ʃɛla
सोत	ʃot̪
शोक	ʃok
सोना	ʃona
हठासे	hɔʈaʃɛ
पाती	pat̪ihaʃ
हाती	hat̪i
हािजर	haʣir
हाटु	haʈuæ
हात	hat̪
हाडडी	haɖɖi
हामरा	hamra
हाितय़ार	hat̪iær
हाल	hal
हेम	hɛm
