# KRNB BN — extracted from Toulmin (2006) Appendix A "Comparative KRNB wordlists" (ANU open-access, openresearch-repository.anu.edu.au). Devanagari\tIPA. Derived reflex data; provenance: Toulmin 2006 PhD, ANU.
आघोन	aɣʱon
सका	heŋka
आतो	ato
आठ	aʈʰ
आकाश	akas
आङु	aŋur
आगते	aɣɔte
आगे	aɣe
आङु	aŋuli
आङ	aŋtʰi
आङार	aŋar
आम	am
आरो	aro
आदा	ada
आलु	alu
आधा	adʱa
अहा	ohakalia
इटा	itai
उचा	usau
ऊल	ul
उट	utʰ
उपबास	upobas
एंका	ɛŋkae
एक	ek
एगार	ɛɣarɔe
दुर	induren
एते	ɛtɛe
एला	ɛla
एलाओ	ɛlaoe
एत	ɛtoɣilae
ओते	otɛo
ओय	oɛo
ठोट	tʰot
कम	kɔm
कथा	kotʰa
कोमर	komor
कापाल	kapal
कर	kɔr
कलिस	kolsi
ितल	tilkani
कल	kɔl
काटा	kaʈa
कान	kan
काँिच	kasi
काटारी	katari
काठल	katʰɔl
काङाल	kaŋal
कादं	kadɔ˜
कािमहाड़ा	kamihara
कामार	kamar
कारन	karɔn
कापास	kapas
काला	kala
कना	kin
कािहिन	kahini
काय	kaɛ
कका	keŋka
कोनबेला	konbela
खाता	kʰata
खापर	kʰapɔr
खात	kʰat
खाली	kʰali
खुिच	kʰusi
खेर	kʰer
खकर	kʰokɔr
खोरा	kʰora
गरीब	gorib
गलधन	goldʱɔn
गोबर	gobɔr
गम	gɔm
गरम	gɔrɔm
गभीर	gobʱir
गाछ	gas
गाल	gal
गोला	gola
गाओँ	gaw
गाहेके	gahɛke
िगर	girgironi
िगला	gil
गुवा	guag
गुहा	guhag
घर	kʱɔr
घास	kʱas
चुकु	suku
चरे	sore
चाकर	sakɔr
चािब	sabi
चाका	saka
चामरा	samra
चेिन	seni
चाल	sal
चेपा	sep
िचका	sika
िचला	sila
चुन	sun
चेङेरा	sɛŋera
मङु	moŋula
चुिल	suli
चोका	soka
छाइ	saibi
छय	sɔjb
छागल	saɣɔlb
छया	sojab
झरा	sʱora
झुला	sʱul
तातका	tatka
टेङा	tɛŋa
ठीक	tʰik
डाङ	daŋ
दािन	dani
डाङार	daŋɔr
दास	das
डेना	dena
दाइन	dain
िडमा	dima
तलत	tɔlɔt
तामा	tama
ितता	tita
तारा	tara
ताराता	taratari
ितन	tin
ताला	tala
तालु	talu
तीर	tir
तय	tɔɛ
तेर	teɔ
तेल	tel
तुष	tus
तेज	tɛs
तुिम	tumi
तुिमरा	tumiɽa
ितितली	titili
थुतु	tʰuturi
तापुिल	tapuli
दह	dɔs
दस	tɔs
दहा	doha
दाँत	dat
दामी	dami
दामु	damuri
दुध	dutʰd
दन	din
दुराइ	durai
दुइ	dui
दुवार	duard
दोकान	dokan
दोष	dos
देओबार	dɛowar
धातु	tʱatu
िबधान	bidʱan
देहा	deha
धुङा	tʱuŋa
धाराल	t̪ʱaral
धिन	tʱoni
धुना	tʱuna
धान	tʱan
धुला	tʱula
धोबा	tʱowa
नदी	nodi
नाकार	nakar
नरम	nɔrɔm
नाङाल	naŋal
लटा	lɛŋta
नाम	nam
नाक	nak
नािम	nam
िनमख	nimɔx
नीला	nila
पचा	posa
पाच	pas
पाछत	pasɔt
पका	poka
पाखा	paxa
पातला	patla
बाबुरी	baburi
पाता	pata
पात	pat
पाथर	patʰɔr
पानी	pani
पुित	put
पीतल	pitɔl
पुब	pub
पुरा	pura
पूरा	pura
पेट	pɛt
पोका	poka
राित	ratipua
पुहा	puha
फाल	pʰal
फल	pʰɔl
बछर	bɔsɔr
बर	bɔrɔ
बदले	bodole
बनुवा	bonua
बरफ	borɔ
बागन	baɣɔn
बाकिल	bakla
बाँश	bas
बाओ	bao
बागान	baɣanbari
बाघ	bax
बादाम	badam
बातास	batas
दर	pandɔr
बार	barɔ
बािल	bala
िबछा	bisa
िबष	bis
िबपद	bipɔt
िबहाने	bihane
बुधबार	budbar
बुकु	buku
बेका	beka
बुट	but
बेरा	bera
बेदल	bɛdlaŋ
बेला	bɛla
भाप	pʱapn
भतरा	pʱɔtɔran
भाल	pʱaln
भात	pʱatn
भालुक	pʱalun
भूिम	pʱumi
भुका	pʱukan
भुल	pʱuln
पृथक	pritʰɔk
मतर	mɔtɔr
मरन	mɔrɔn
मधु	modʱu
माघ	max
माकारा	maxra
माकै	makoj
माखी	maxi
माखन	maxɔn
माफ	ma
माथा	matʰa
मानुह	manu
मुख	mux
मुिच	musi
िमठा	mitʰa
मुत	mut
मय	mɔɛ
मेघ	mɛx
मुरगी	murgi
मुछा	mursa
मोच	mos
मोटा	mota
मरा	moramanuh
मयला	mɔjla
लगत	lɔɣɔt
लोहा	loha
लालटा	lalta
लेङेरा	lɛŋɛra
लाल	lal
लेटुं	letu˜
लालसा	lalosa
लोक	lok
लेप	lep
रिबबार	rowiwar
राित	rati
राखाल	raxal
राग	rag
रद	rot
शलीया	holja
शिनबार	honibar
सोमबार	hɔmbar
शुंग	huŋ
िशका	hik
िशपा	hipa
िशयािन	hiani
शुन	hun
िशरा	hira
सेव	he˜was
िशल	hel
संसार	sɔ˜sar
सहज	hɔhɔs
सरल	hɔrɔl
साप	hap
सागर	haɣɔr
सात	hat
िसधा	sidʱa
सह	hiŋhɔ
सुपा	hupari
शुकुना	hukuna
सेप	hep
सुता	huta
सेला	hɛla
सोनारी	honari
सोत	hot
शोक	hok
सोना	hona
चोवा	sowa
हालधीया	haldia
हाती	hati
हातुरा	hatura
हाटु	hatu
हात	ha
आिम	ami
