# KRNB KS — extracted from Toulmin (2006) Appendix A "Comparative KRNB wordlists" (ANU open-access, openresearch-repository.anu.edu.au). Devanagari\tIPA. Derived reflex data; provenance: Toulmin 2006 PhD, ANU.
आठ	a˜ʈ
अंगूर	əŋgur
आगु	agu
आंउल	aŋul
एंगना	ɛŋna
आंगठी	aŋʈʰi
आिगन	agin
आंगरा	aŋra
आकाश	akas
आंधर	ənd̪ʱər
आटा	aʈa
आम	am
आदो	ad̪
आर	ar
आलू	alu
आधा	ad̪ʱa
आलो	alo
आसमान	asman
ईटा	iʈa
एरा	ɛra
इन	ind̪rəd̪ʱənus
ऊँट	u˜ʈ
ऊँचअ	u˜
उपास	upas
वोकनी	wokin
ऊपर	upər
उजला	uʤla
वोरा	wora
ऊन	un
यँहाय	jə˜haj
इपाके	ipakɛ
एक	jɛk
ऐरं	irəŋ
एगारह	ɛgar
इठीन	iʈʰin
ठना	hiʈʰina
िनदुर	nid̪ur
आला	alʱa
एतला	ɛt̪əla
ठीन	huʈʰin
वहाँय	wəha˜j
ओस	wos
ओठ	woʈʰ
तेला	kət̪əla
कतला	kət̪ɛla
कमल	kəməl
कपाल	kəpal
कपूर	kəpur
कनीया	kənja
कांको	kako
काँटअ	ka˜ʈ
कसम	kəsəm
काङ	kaŋ
काकती	kakt̪i
कादो	kad̪o
कान	kan
कारण	karən
काना	kana
कालअ	kal
कलुवा	kəlua
कपड़ा	kəpra
काल	kal
कन	kin
कसान	kisan
कोयला	kojlə
खटा	kʰəʈa
खरा	kʰəra
खाद	kʰad̪
खराब	kʰərab
खाट	kʰaʈ
खाली	kʰali
खुशी	kʰusi
खेर	kʰɛr
खीरा	kʰira
खेत	kʰɛt̪
एक	ɛkkʰud̪i
खोब	kʰob
खोता	kʰot̪a
गरधन	gərd̪ʱən
गरम	gərəm
गहरा	gəhra
गाछ	ga
गाय	gaj
गाजर	gaʤər
गाल	gal
गला	gəla
गंदा	gənd̪a
गाँव	gaw˜
िगरिगर	girgiʈ
िगरजेछे	girʤ
गुंजुर	gunʤur
िगल	gil
गरअ	gor
गुही	gui
गोल	gol
गोटेला	goʈɛla
हन	gərʰən
घैला	gʱəila
घंटी	gʱonʈi
घास	gʱa˜s
िततली	t̪it̪li
जंगल	ʤəŋəl
जंग	ʤəŋ
जलन	ʤələn
जंतू	ʤənt̪u
जवान	ʤəwan
जनम	ʤənəm
जवाब	ʤəwab
जमीन	ʤəmin
जहर	ʤəhər
जाङ	ʤaŋ
जाहे	ʤaɛ
जीउ	ʤiu
जाल	ʤal
जहाज	ʤəhaʤ
जीरा	ʤira
जुता	ʤut̪a
जोर	ʤor
झूठ	ʤʱuʈ
झुठा	ʤʱuʈʰa
झुल	ʤʱul
जार	ʤʱar
टना	ʈina
टाटी	ʈaʈi
टाप	ʈap
टक	ʈikʈiki
टोकरी	ʈokori
ठीक	ʈʰik
ठग	ʈʰɛŋ
ठाल	ʈʰal
डाङ	ɖaŋ
डेना	ɖɛna
डोल	ɖol
ढलअ	ɖʰil
ढीला	ɖʱila
ढोल	ɖʱol
तक	t̪ək
ताने	t̪anɛ
ताजा	t̪aʤa
तारा	t̪ara
तीत	t̪it̪
तीन	t̪in
तलुआ	t̪əlwa
ितरमात	t̪irmat̪
तालू	t̪alu
तीर	t̪ir
तलवा	t̪əlua
तुइँ	t̪ui
तेरह	t̪ɛr
तेल	t̪ɛl
तुमरा	t̪umra
तेतली	t̪ɛt̪li
थोरे	t̪ʰorɛk
थूप	t̪ʰup
देिखन	d̪əkʰin
दज	d̪ərʤi
दस	d̪əs
दाना	d̪ana
दही	d̪əi
दाम	d̪am
दाँत	d̪a˜t̪
दुन	d̪un
दन	d̪in
दुिनया	d̪unia
दमाग	d̪imag
दल	d̪il
दूर	d̪ur
दुई	d̪ui
दुहनी	d̪uhəni
देरी	d̪ɛri
धातु	d̪ʱat̪u
धुआं	d̪ʱu˜wa
देहा	d̪ɛa
धीरे	d̪ʱirɛd̪ʱirɛ
धनी	d̪ʱəni
धुन	d̪ʱun
धाकड़	d̪ʱakər
धान	d̪ʱan
धूप	d̪ʱup
धार	d̪ʱar
ननद	nənəd̪
नाया	nəja
लदी	ləd̪i
नरम	nərəm
नंटा	nəŋʈa
नारी	nari
नाम	nam
नाक	nak
नकार	nəkar
िनबरी	nibri
नीला	nila
नुन	nun
नाँव	naw
नुआ	nua
पुवाल	pwal
पाँच	pa˜
पाँजोर	panʤor
पका	pəka
पिखना	pəkʰina
पतला	pət̪la
पुपनी	pupni
पती	pət̪i
परवा	pɛrwa
पहाड़	pəhar
पानी	pani
पिहया	pəhia
पीस	pis
पीठी	piʈʰi
पीतल	pit̪əl
पीलू	pilu
िपलाई	piləi
पुरा	pura
पेट	pɛʈ
पूरा	pura
पुरना	purna
पोका	poka
पुल	pul
पुशा	pusa
पुआ	pua
फाल	pʰal
बैर	bəir
बड़का	bərka
बकरी	bəkri
बदलत	bəd̪ələt̪
बगल	bəgəl
बादल	bad̪əl
बन	bən
बनुआ	bənua
बयार	bəjar
बरफ	bərə
बाँस	ba˜s
बायाँ	ba˜ja
बंगठा	bəŋʈʰa
बाघ	bag
बैगन	bəjgən
बाँङा	baŋa
बान	ban
बिनया	bənia
बांदर	bənd̪ər
बारह	bar
बाह	bah
बाहार	bahar
बालू	balu
बीच	bi
बीलाती	bilat̪i
बीश	bis
िबना	bina
बेहान	bɛhan
बुध	bud̪
बेहाल	bɛhal
बुन	bun
बुक	buk
बेका	bɛka
बेक	bɛki
बग	bɛŋ
बेला	bɛlaɖuba
बेसी	bɛsi
बैल	bəjl
बेला	bɛla
भारी	bʱari
भलला	bʱələla
भात	bʱat̪
भालु	bʱalu
भाप	bʱap
भीजा	bʱiʤa
भूक	bʱuk
भूटी	bʱuʈi
भोख	bʱok
भोर	bʱor
भस	bʱəi˜sə
मोय	moj
मरद	mərəd̪
मटर	məʈər
माघ	mag
माछ	ma
मकई	məkəj
मान	manʱ
माटी	maʈi
माथा	mat̪ʰa
मसूड़ा	məsura
माने	manɛ
मुख	muk
मीठअ	miʈʰ
िमठा	miʈʰa
मूत	mut̪
मुइँ	mui
मुरदा	murd̪a
मुरगी	murgi
मुरगा	murga
मोच	mo
मूल	mul
मुसा	musa
मुश	mus
लुहा	lua
लंबा	ləmba
लोहार	luhar
लकड़ी	ləkri
लाठी	laʈʰi
लालझोल	lalʤʰol
लाल	lal
लालच	lalə
लोक	lok
लोई	loj
लोभ	lob
रोग	rog
सनी	rusni
नाध	nad̪ʱ
राजा	raʤa
राइ	rai
रात	rat̪
रौद	roud̪
शरम	sərəm
सगाल	siŋal
सुँघ	suŋʱ
िसख	sikʰ
शुकर	sukər
सुन	sun
संसार	səŋsar
समु	səmund̪ər
सड़क	sərək
सरल	sərəl
साँप	sa˜p
सवाल	səwal
सात	sat̪
साथ	sat̪ʰ
सीधा	sid̪ʱa
साल	sal
िससा	sisa
सग	siŋ
सीम	sim
िसङ	siŋ
सूई	su˜i
सुखना	sukna
सुपारी	supari
सुख	suk
सूरज	surəʤ
सुत	sut̪
सोर	sor
सुतअ	sut̪o
सुंदर	sund̪ər
शोक	sok
सवा	səwa
हठात	həʈʰat̪
हांस	ha˜s
हथौड़ा	hət̪əuɽa
हटू	həʈua
हाथ	hat̪ʰ
हामरा	həmra
हाल	hal
हथी	hət̪ʰi
हलका	həlka
हवा	həwa
