# KRNB MH — extracted from Toulmin (2006) Appendix A "Comparative KRNB wordlists" (ANU open-access, openresearch-repository.anu.edu.au). Devanagari\tIPA. Derived reflex data; provenance: Toulmin 2006 PhD, ANU.
आँट	a˜ʈ
आट	aʈ
आगुत	agut̪
आगुती	agut̪i
आँगुल	aŋgul
एंगना	ɛŋna
आँठी	aŋʈʰi
आँरा	aŋra
आकास	akas
आटा	aʈa
आम	am
आद	ad̪
आर	ar
आलु	alu
आधा	ad̪ʱa
आलक	alok
इटा	iʈa
उट	uʈʰ
उपास	upas
नुकनी	nukni
उन	un
ऊनी	uni
एए	ɛɛ
एक	ek
खेलाखा	ɛkɛlaxat̪i
एगार	ɛgar
एतुबार	et̪war
ऐइठे	ɛiʈʰɛ
एइठीन	ɛiʈʰin
एरी	eri
ठोट	ʈʰoʈ
काकु	kaku
काको	kako
काटा	kaʈə
काङ	kaŋ
काउहा	kəuha
काती	kat̪i
काद	kad̪
कान	kan
काना	kana
कापास	kapas
काल	kal
काली	kali
कन	kin
कािहनी	kahini
काहानी	kahani
कसान	kisan
काए	kaɛ
कपतोर	kopt̪or
कोइला	kojla
खाटा	kʰəʈə
खाट	kʰaʈ
खामार	kʰəmar
खाराब	kʰarab
खाली	kʰali
िखरा	kʰira
खेत	kʰɛt̪
खेद	kʰed̪
खोब	kʰob
गादना	gad̪nʱa
गाइ	gaj
गाल	gal
गाला	gala
गारी	gari
गाँउ	gaw
िगदु	gid̪u
िगल	gil
गुवा	gua
गुही	guhisap
गोल	gol
गोटलाए	goʈlaɛ
घीउ	gʱiu
घास	gʱas
जुधी	ʤud̪ʱi
जवान	ʤəwan
जावाफ	ʤəwa
जावाप	ʤəwap
जाङ	ʤaŋ
जार	ʤar
जान	ʤan
जाहे	ʤahɛ
जनावर	ʤənawər
जीव	ʤib
जाल	ʤal
िजिनस	ʤinis
िजभा	ʤibʱa
जहाज	ʤəhaʤ
िजरा	ʤirə
जता	ʤot̪a
जोर	ʤor
झुठ	ʤʱuʈʰ
झुठा	ʤʱuʈʰa
झुल	ʤʱul
झुला	ʤʱula
झारबारी	ʤʱarbari
टप	ʈip
टाटर	ʈaʈər
टना	ʈina
टाटी	ʈaʈi
टेरा	ʈɛra
ठक	ʈʰikʈiki
ठाइ	ʈʰai
ठक	ʈʰik
ठाली	ʈʰali
दाँया	d̪a˜ja
मोइ	moiɖor
ढला	ɖʱila
ढेना	ɖʱɛna
ढोल	ɖʱol
ताने	t̪anɛ
तामा	t̪ama
तारा	t̪ara
ितत	t̪it̪
तीन	t̪in
ताला	t̪ala
तीर	t̪ir
तुइ	t̪ui
तेरह	t̪er
तुरी	t̪uri
तेल	t̪el
थाल	t̪ʰal
थुप	t̪ʰup
दारी	d̪arʱi
दाना	d̪ana
दाम	d̪am
दाँत	d̪at̪
दामाल	d̪amal
दुध	d̪ud̪
दन	d̪in
दुिनया	d̪unia
दमाग	d̪imag
दल	d̪il
दुइ	d̪ui
देरी	d̪eri
दोष	d̪os
धातु	d̪ʱat̪u
धान	d̪ʱan
धुआं	d̪ʱu˜wa
देहा	d̪ɛha
रया	d̪ʱurja
िधरे	d̪ʱirɛ
धुन	d̪ʱun
धुप	d̪ʱup
धुला	d̪ʱula
धारा	d̪ʱara
धोबी	d̪ʱobi
नाकार	nakar
नाङटा	naŋʈa
लारी	lari
नारी	nari
नाम	nam
नाक	nak
िनला	nila
नुन	nun
नाउँ	naw˜
नुवा	nua
नेकनाँइ	nɛknaj
पखी	poxi
पाँच	pa
पाअ	paw
पाका	paka
पेखना	pɛxna
पाता	pat̪a
पातारी	pat̪ari
पार	parʱu
पाहाड़	pəhaɽ
पानी	pani
िपस	pis
िपठी	piʈʰi
िपतल	pit̪əl
पेट	peʈ
पुरा	pura
पुनना	punna
पुल	pul
पुआ	pua
फाल	pʰal
बरफ	bərə
बासी	basi
बास	bas
बायाँ	ba˜ja
बागान	bəgan
बाघ	bag
बादे	bad̪ɛ
बोली	boli
बािनया	bania
बातास	bət̪as
बादाम	bəd̪am
बारह	bar
बाह	bah
बालु	balu
बाअ	baw
बीलाती	bilat̪i
बीष	bis
िबछना	bisna
िबना	bina
िबलाइ	bilai
बुढा	buɖʱa
बेहान	behan
बुधबार	bud̪ʱbar
बुन	bun
बुक	buk
बेका	bɛka
बेङ	bɛŋ
बेला	bɛlaɖub
बेसी	besisebesi
बेला	bɛla
भारी	bʱari
भाल	bʱal
भेलेला	bʱɛlɛla
भात	bʱat̪
भालुक	bʱaluk
भाप	bʱap
भूिम	bʱui
िभजा	bʱiʤa
भुक	bʱuk
भुटी	bʱuʈi
भुल	bʱul
भीने	bʱinɛ
भुस	bʱus
भुसा	bʱusa
भुसी	bʱusi
भोक	bʱok
भोर	bʱor
भुरा	bʱura
माग	mag
माकाइ	makaj
माटी	maʈi
माफ	ma
माथा	mat̪ʰa
माँस	mas
मानुष	manus
मासु	masu
माने	mane
मुख	mukʰ
िमठ	miʈʰ
िमठाइ	miʈʰaj
िमिह	mihi
मुत	mut̪
मुँइ	mui
मोच	mo
मुसी	musi
मेग	meg
मुंनी	muni
लुहा	luha
लाठी	laʈʰi
लुटी	luʈi
लाल	lal
लालच	lal
नेट	nɛʈ
लास	las
लोक	lok
लोय	loj
रोय	roj
लोभ	lob
इसनी	isni
सनी	rusni
राइ	rai
रात	rat̪
राती	rat̪i
राग	rag
रौत	rot̪
सगारी	siŋgari
िसख	sikʰ
सुन	sun
सेस	sɛs
साप	sap
सात	sat̪
िसत	sit̪
िसधा	sid̪ʱa
साल	sal
िससा	sisa
िसङ	siŋ
सुकना	sukna
सुपारी	supari
सुख	sukʰ
सुज	surio
सुत	sut̪
सोर	sor
सुता	sut̪a
सोक	sok
हाँस	has
हाटु	haʈua
हाथ	hat̪ʰ
हामा	hama
हाल	hal
हाती	hat̪i
