# KRNB SH — extracted from Toulmin (2006) Appendix A "Comparative KRNB wordlists" (ANU open-access, openresearch-repository.anu.edu.au). Devanagari\tIPA. Derived reflex data; provenance: Toulmin 2006 PhD, ANU.
अघन	ɔɣʱɔna
ओतला	ɔt̪olao
आट	aʈ
आटो	aʈo
आङु	aŋur
आगोत	ago
आिघना	aɣina
अघुन	oɣuna
आटा	aʈa
आम	am
आर	ar
आलु	alu
आधखान	at̪kʰan
आलो	alo
आशमान	aʃman
इट	iʈi
इिमरा	imirai
उठ	uʈu
उखुनी	uxuniu
उपर	uporu
उमुरा	umurau
एक	ɛke
एगारो	egaroe
एइठे	eiʈʰeei
एला	ɛlae
ओइपाखे	oipaxeoi
ओइठे	oiʈʰeoi
ठोट	ʈʰoʈ
कतला	kɔt̪ola
कत	kɔt̪ɔ
कमर	kɔmɔr
कनेक	kɔnek
कर	kɔr
कलकानी	kilkani
कलिस	kulʃi
कल	kɔlɔ
काटा	kaʈa
काठोल	kaʈʰol
काङाल	kaŋgal
कादो	kad̪o
कान	kan
कामार	kamar
कारन	kaɽɔn
कारािन	karani
काला	kala
कािल	kali
किनबार	kin
कोठे	koʈʰe
कय़ला	kɔjla
खाट	kʰaʈ
िखब	kʰib
खािल	kʰali
खुशी	kʰuʃi
यार	kʰɛr
खीरा	kʰira
यात	kʰɛt̪
खोलठा	kʰolʈa
गधना	gɔd̪ʱona
गम	gɔm
गरम	gɔrɔm
गाल	gal
गाला	gala
गाव	gaw
गीजन	giʣʣon
िगला	gil
गुिह	guhig
गोल	gol
घोिस	gʱoʃi
घुरानी	gʱuranibao
घास	gʱaʃ
घाटा	gʱaʈa
चाकु	saxu
चाखा	saxa
िचित	sit̪i
चुन	sun
तारा	t̪a˜rasɛŋ
चिख	soxi
छागोल	saɣol
छाइ	saibi
छाओय़ा	sawabo
छान	sanb
टोसा	ʈoʃa
टपा	ʈip
टनाजोक	ʈina
ठीक	ʈʰik
ठाल	ʈʰal
डाल	ɖal
डास	ɖaʃ
डेना	ɖena
िडमा	ɖima
ढाङा	ɖʱaŋa
ढला	ɖʱila
तक	t̪ɔk
तामान	t̪aman
तारा	t̪aɽa
ितता	t̪it̪a
ितन	t̪in
ताला	t̪ala
बरम	bɔrɔmt̪alu
ितर	t̪ir
तेरो	t̪ɛro
याल	t̪ɛl
तुिस	t̪uʃi
तमोरा	t̪omora
िततिल	t̪it̪ili
तेलमुच	t̪elmus
थािल	t̪ʰali
थुप	t̪ʰup
दर	d̪ɔr
दस	d̪ɔʃ
दह	d̪ɔhɔ
दाना	d̪ana
दात	d̪at̪
दामी	d̪ami
दामेरा	d̪amɛra
दुद	d̪ut̪d
दुन	d̪und
दन	d̪in
दुिनय़ा	d̪uniad
दुर	d̪urd
दुइ	d̪uidi
दुय़ार	d̪uord
दोकान	d̪oxan
दोष	d̪oʃ
धातु	d̪ʱat̪u
देहा	d̪eha
धार	d̪ʱar
धरे	d̪ʱɔrea
धीरे	d̪ʱired̪ʱire
धनी	d̪ʱoni
धुना	d̪ʱuna
धान	d̪ʱan
धुला	d̪ʱula
नधी	nod̪ʱi
ननद	nɔnɔt̪
नरम	nɔrɔm
यांठा	nɛŋʈa
नाओ	naw˜
नाक	nak
नामा	nam
िनमक	nimɔk
नील	nil
नुन	nun
पखी	poxi
पचा	posa
पोय़ाल	poal
पशम	pɔʃɔm
पाच	pas
पाका	paxa
पाखेना	paxɛna
पाखे	paxe
पातला	pat̪ɛla
पाता	pat̪a
पारिन	paroni
पात	pat̪
पारो	paro
छागोलेर	palb
पानी	pani
िपिसबार	piʃ
िपतोल	pit̪ol
पुब	puw
याट	pɛʈ
िपिड़र	piɽird̪at̪
पुरान	puran
पोका	poxa
पुल	pul
पुषा	puʃa
फाल	pʰal
फम	pʰɔm
फट	pʰiʈ
नाके	nakerpʰoroŋ
फर	pʰir
