# KRNB TH — extracted from Toulmin (2006) Appendix A "Comparative KRNB wordlists" (ANU open-access, openresearch-repository.anu.edu.au). Devanagari\tIPA. Derived reflex data; provenance: Toulmin 2006 PhD, ANU.
अमन	ɔmona
अत	ɔt̪oa
अइरकम	oirɔkom
अघन	ɔgʱona
आठ	aʈ
गुर	aŋgul
आगत	aɣot̪
आगुत	aɣut̪
नुङुल	nuŋul
एंना	ɛŋnae
आंरा	aŋra
आकाश	akaʃ
आटा	aʈa
आम	am
आदा	ad̪a
आर	ar
आलु	alu
आधखान	at̪ʰkʰan
आलो	alo
इटा	iʈai
उट	uʈʰu
उल	ul
उकु	ukunu
उपरत	uprot̪u
एइला	eilaei
एक	ɛke
एमन	ɛmone
एगार	ɛɣarɔe
एइठे	eiʈʰe
एत	ɛt̪oe
ऐला	oila
ओइला	oi
ओठ	oʈʰ
ठोट	ʈʰoʈo
कबिज	kobʤi
कत	kɔt̪o
काथा	kat̪ʰa
कमर	kɔmor
कपाल	kɔpal
कशम	kɔʃom
काटा	kaʈa
काङ	kaŋ
काकिल	kakli
कठल	kɔʈʰɔl
कांगाल	kaŋal
काित	kat̪i
कादा	kad̪a
कान	kan
कामहार	kamʱar
नाके	nakerkana
कारहन	karʱon
काना	kana
काल	kalo
कन	kin
कािहनी	kahini
कषान	kiʃan
कोपतर	kopt̪or
कय़ला	kɔjla
खाटा	kʰaʈa
खाटाश	kʰaʈaʃ
खलान	kʰɔlan
खेजुर	kʰeʤur
खािल	kʰali
खेर	kʰer
िखरा	kʰira
उखु	uxud̪iu
गरीप	gorip
गुदा	gurd̪ag
गबर	gɔbor
गहम	gɔhom
गरम	gɔrom
गामला	gamla
गाजर	gaʤor
गाल	gal
गाड़ही	gaɽʱi
िगल	gil
गेदरा	gɛd̪ra
गोल	gol
गटे	gɔʈela
िघउ	gʱiu
घर	gʱɔr
घास	gʱaʃ
घेलु	gʱelu
जंगल	ʤɔŋgol
जङ	ʤɔŋ
जर	ʤɔr
यत	ʤɔt̪o
जगत	ʤɔgot̪
जोय़ान	ʤuwan
जवाब	ʤowab
जिम	ʤomi
जर	ʤɔrj
जाहाज	ʤaha
जार	ʤar
जीब	ʤip
जाल	ʤal
िजिनश	ʤiniʃ
जागा	ʤaga
येमन	ʤɛmon
जीरा	ʤira
जुता	ʤut̪a
जेटके	ʤɛʈkeʈi
जुदा	ʤud̪a
जोर	ʤor
झकझक	ʤʱɔkʤʱɔk
झुरी	ʤʱuri
झुला	ʤʱula
टाटका	ʈaʈka
टाटी	ʈaʈi
टक	ʈikʈʰiki
ठक	ʈʰik
डाल	ɖal
डाइल	ɖail
डािहन	ɖahin
िडमा	ɖima
ढल	ɖʱil
ताहाने	t̪ahane
तलत	t̪ɔlot̪
तामा	t̪ama
तारा	t̪ara
ितत	t̪it̪o
ताड़ातािड़	t̪arat̪ari
ितन	t̪in
तालु	t̪alu
ितर	t̪ir
तीर	t̪ir
ताला	t̪ala
तेर	t̪ɛrɔ
तेल	t̪el
तुला	t̪ula
तुष	t̪uʃ
तेतुल	t̪et̪ul
थोन	t̪ʰon
थुतिल	t̪ʰut̪li
थलुय़ा	t̪ʰolua
थुब	t̪ʰup
दिखन	d̪okʰin
दश	d̪ɔʃ
दाना	d̪ana
दिह	d̪ohi
दाम	d̪am
दात	d̪at̪
दाग	d̪ag
दुन	d̪und
दन	d̪in
दुिनय़ा	d̪uniad
दुरोत	d̪urot̪d
दुइ	d̪uidi
दकान	d̪ɔkan
दोष	d̪oʃ
देओय़ाल	d̪ɛwal
धीरे	d̪ʱire
धुना	d̪ʱuna
धान	d̪ʱan
धुला	d̪ʰ̤ula
धार	d̪ʰ̤ar
धपा	d̪ʱɔpa
नदी	nod̪ʰi
ननद	nɔnɔd̪
नरम	nɔrom
नांगा	naŋga
नाम	nam
नाक	nak
लील	lil
नीला	nila
नुन	nun
नौका	nowka
नेङर	nɛŋɔr
पािपय़ा	papia
पिख	poxi
पोय़ाल	pwal
पथ	pɔt̪
पाँच	pa
पाका	paka
पाखा	paxa
पातला	pat̪la
पाता	pat̪a
पात	pat̪
पारो	paro
पाथर	pat̪ʰor
पाहाड़	pahar
पािन	pani
िपनह	pinʱ
पीस	piʃ
िपतल	pit̪ɔl
पुब	pub
पका	pɔka
पुल	pul
पोहात	pohat̪
पूषा	puʃa
पोवा	pua
फम	pʰɔm
फट	pʰiʈ
नाके	nakerbin
फल	pʰɔl
पसा	pʰɛʃpa
बइर	boir
बकरी	bokri
बदले	bɔd̪ole
बगलत	bɔglot̪
बन	bɔn
बह	bɔho
बरफ	bɔro
बािश	baʃi
बाँश	baʃ
बागान	bagan
बाग	bag
बेगुन	begun
बादामी	bad̪ami
बान	ban
बािनय़ा	bania
बातास	bat̪aʃ
बानदर	band̪ɔr
बादाम	bad̪am
बार	barɔ
बाहा	baha
बािहरत	bahirot̪
बालु	balu
बाओ	baw
िबलाइ	bilai
िबयु	biʤu
िबलाित	bilat̪i
िबष	biʃ
िबस	biʃ
िबना	bina
िबपद	bipɔd̪
िबषुदबार	biʃud̪bar
बुड़हा	burʱa
बुधुबार	bud̪ʱubar
िबहाित	bihat̪i
ताँत	t̪a˜t̪bun
बुक	buk
बुट	buʈ
याङ	bɛŋ
बेला	bɛla
भतरा	bʱɔt̪ran
भारी	bʱarin
भरा	bʱɔran
भाल	bʱalon
भात	bʱat̪n
भालुक	bʱalukn
भाप	b̤ʰap
िभतर	bʱit̪ɔr
भुल	bʱuln
भुसी	bʱuʃin
मरद	mɔrod̪
मटर	mɔʈor
मरा	mɔra
मरन	mɔron
मद	mɔd̪
मधु	mod̪ʱu
माघ	mag
पकामाकर	pɔkamakɔr
माझत	maʤʱot̪
माइय़ा	majja˜
माथा	mat̪ʰa
मास	maʃ
मानुष	manuʃ
मुख	mukʰ
मुखामुिख	muxamuxi
िमिह	mihi
मुत	mut̪
मेला	mɛla
मच	mo
मटा	mɔʈa
मुश	muʃ
मय़ला	mɔjla
मिन	muni
लुहा	luha
लकिड़	lokri
लगत	lɔɣot̪
लुला	lula
नुला	nula
लाल	lal
नाल	nal
नेकरे	nekre
लोक	lok
लेप	lep
रङधेनु	rɔŋd̪ʰ̤enu
रग	rɔg
ओशुन	oʃun
रान	ranʱ
आजा	aʤa
राजा	raʤa
राइत	rait̪
राखाल	raxal
राग	rag
हास	haʃ
शरम	ʃɔrom
शरील	ʃoril
शलेया	ʃɔlea
शामुक	ʃamuk
समबार	ʃɔmbar
शगल	ʃiŋgol
शुङ	ʃuŋ
िशख	ʃix
शुकुर	ʃukurwar
िशपा	ʃipa
शुन	ʃun
शेष	ʃɛʃ
षार	ʃar
सबला	ʃɔbla
सबुज	ʃobu
सकाल	ʃɔkal
सरा	ʃɔra
सोवाल	ʃowal
सात	ʃat̪
साथे	ʃat̪ʰe
साथोत	ʃat̪ʰot̪
शीत	ʃit̪
साधा	ʃad̪ʱa
सामनत	ʃamnot̪
िशशा	ʃiʃa
सीम	ʃim
सघ	ʃiŋgʱɔ
शुकना	ʃukna
सुपारी	ʃupari
सुख	ʃukʰ
शुत	ʃut̪
शोर	ʃor
सुता	ʃut̪a
याला	ʃɛla
