# Persian↔Tajik↔IPA parallel corpus — the FULL Shahnameh, FUZZY-aligned (39,080 lines, ~224k in-context words).
# fa: Ferdowsi's Shahnameh (Ganjoor, all 777 poems / 99k hemistichs; public domain).
# tg: Shahnameh in Tajik Cyrillic (HF TajikNLPWorld/shahnameh-tajik-corpus, 8 jilds / 91k, CC-BY-SA-4.0).
# Aligned by consonant-skeleton (drop matres ا و ی) + a TRIGRAM-INDEXED fuzzy pass (bounded edit-distance ≤2):
# exact d=0 (5464) + fuzzy d=1 (15272) + d=2 (19213). The edit-1/2 tail is the izofat-ی / short-u→و matres
# residue the consonant-strip can't remove — genuine matches (random spot-checks all correct). Position-agnostic.
# ipa: Tajik-derived Persian IPA (tajik-align + Iranian i→e/u→o/final-ه→e). SILVER. The sentence CONTEXT is the
# point — training data for the homograph/ezafe model past the word-level shared-merger ceiling.
# fa<TAB>tg<TAB>ipa
کز این برتر، اندیشه، بر نگذرد	К-аз ин бартар андеша барнагзарад:	k ʔaz ʔen bartar ʔandeʃa barnaɡzarad
خداوندِ نام و خداوندِ جای	Худованди ному худованди ҷой,	χodɒwande nɒmo χodɒwande d͡ʒɒj
خداوندِ روزی‌دِهِ رهنمای	Худованди рӯзидиҳу раҳнамой.	χodɒwande rozedeho rahnamɒj
خداوندِ کیوان و گَردان‌سپهر	Худованди Кайҳону гардонсипеҳр,	χodɒwande kajhɒno ɡardɒnsepehr
فروزندهٔ ماه و ناهید و مِهر	Фурӯзандаи Моҳу Ноҳиду Меҳр.	forozandaje mɒho nɒhedo mehr
ز نام و نشان و گمان، برتر است	Зи ному нишону гумон бартар аст,	ze nɒmo neʃɒno ɡomɒn bartar ʔast
به بینندگان، آفریننده را	Ба бинандагон офаринандаро	ba benandaɡɒn ʔɒfarenandarɒ
نبینی، مرنجان دو بیننده را	Набинӣ, маранҷон ду бинандаро!	nabene marand͡ʒɒn do benandarɒ
نیابد بِدو، نیز، اندیشه، راه	Наёбад бад-ӯ низ андеша роҳ,	najɒbad bad ʔo nez ʔandeʃa rɒh
که او برتر از نام و از جایگاه	Ки ӯ бартар аз ному аз ҷойгоҳ.	ke ʔo bartar ʔaz nɒmo ʔaz d͡ʒɒjɡɒh
سخن، هر چه زین گوهران، بُگذرد	Сухан ҳар чи з-ин гавҳарон бигзарад,	soχan har t͡ʃe z ʔen ɡawharɒn beɡzarad
نیابد، بِدو راه، جان و خرد	Наёбад бад-ӯ роҳ ҷону хирад.	najɒbad bad ʔo rɒh d͡ʒɒno χerad
خرد، گر سخن، برگزیند همی	Хирад гар сухан баргузинад ҳаме,	χerad ɡar soχan barɡozenad hame
همان را گزیند که بیند همی	ҳамонро гузинад, ки бинад ҳаме.	hamɒnrɒ ɡozenad ke benad hame
ستودن، نداند کس او را، چو هست	Ситудан надонад кас ӯро чу ҳаст,	setodan nadɒnad kas ʔorɒ t͡ʃo hast
میانْ بندگی را، ببایدْت بست	Миён бандагиро бибояд-т баст.	mejɒn bandaɡerɒ bebɒjad t bast
ستود آفریننده را، کِی توان؟	Ситуд офаринандаро кай тавон?	setod ʔɒfarenandarɒ kaj tawɒn
پرستنده باشی و جوینده راه	Парастанда бошиву ҷӯяндароҳ,	parastanda bɒʃewo d͡ʒojandarɒh
توانا بُوَد هر که دانا بُوَد	Тавоно бувад, ҳар кӣ доно бувад,	tawɒnɒ bowad har ke dɒnɒ bowad
از این پرده برتر سخن‌گاه نیست	Аз ин парда бартар сухан гоҳ нест,	ʔaz ʔen parda bartar soχan ɡɒh nest
بِدین جایگَه گفتن اَندر خُورَد	Бад-ин ҷойгаҳ гуфтан андархурад,	bad ʔen d͡ʒɒjɡah ɡoftan ʔandarχorad
خِرَد بِهتر از هَر چه ایزَد بِداد	Хирад беҳтар аз ҳарчӣ Эзад-т дод,	χerad behtar ʔaz hart͡ʃe jezad t dɒd
خِرَد دَست گیرد به هَر دو سَرای	Хирад даст гирад ба ҳар ду сарой.	χerad dast ɡerad ba har do sarɒj
از او شادمانی وزویَت غَمی است	Аз ӯ шодмонӣ, аз ӯят ғам аст,	ʔaz ʔo ʃɒdmɒne ʔaz ʔojat ɣam ʔast
