اکتوبر	pa	اکتُوبر
اگن	pa	اگن
اگربتی	pa	اگربتّی
اگست	pa	اگست
اگےرا	pa	اگےرا
اچار	pa	اچار
اجب	pa	اجب
ازان	pa	ازان
اٹاری	pa	اٹاری
اٹھتاࣇی	pa	اٹھتاࣇی
اٹھاراں	pa	اٹھاراں
اٹھتی	pa	اٹھتّی
اݨملا	pa	اݨمُلّا
ادب	pa	ادب
انوان	pa	انوان
اناناس	pa	اناناس
انار	pa	انار
انہےر	pa	انْہےر
اپرادھ	pa	اپرادھ
افغانستان	pa	افغانِستان
امل	pa	امل
ارک	pa	ارک
ارزی	pa	ارزی
ارتھ	pa	ارتھ
ارب	pa	ارب
ارمان	pa	ارمان
ارماناں	pa	ارماناں
استھی	pa	استھی
اسمان	pa	اسمان
اسل	pa	اسل
اسام	pa	اسام
اسیں	pa	اسیں
اسر	pa	اسُر
اہار	pa	اہار
اںنہا	pa	اںنْہا
اںمرتسر	pa	اںمْرِتسر
اںش	pa	اںش
اکݨا	pa	اکّݨا
اکھ	pa	اکھّ
اکھر	pa	اکھّر
اگ	pa	اگّ
اچھا	pa	اچھّا
اج	pa	اجّ
اٹھ	pa	اٹھّ
اڈی	pa	اڈّی
ادھ	pa	ادھّ
ابا	pa	ابّا
اسی	pa	اسّی
آں	pa	آں
آکاش	pa	آکاش
آکھدا	pa	آکھدا
آکھدے	pa	آکھدے
آٹا	pa	آٹا
آتھݨ	pa	آتھݨ
آدم	pa	آدم
آدمی	pa	آدمی
آد	pa	آدِ
آپݨا	pa	آپݨا
آپݨی	pa	آپݨی
آپݨے	pa	آپݨے
آپاں	pa	آپاں
آرتھک	pa	آرتھِک
آواز	pa	آواز
آواس	pa	آواس
آشنا	pa	آشنا
آڑو	pa	آڑُو
اجازت	pa	اجازت
الزام	pa	الزام
استری	pa	استری
ایمان	pa	ایمان
ایسا	pa	ایسا
اکھاڑنا	pa	اکھاڑنا
اڈاݨ	pa	اڈاݨ
اݨاہٹھ	pa	اݨاہٹھ
اتلا	pa	اتلا
اداس	pa	اداس
امڈݨا	pa	امڈݨا
الٹا	pa	الٹا
استت	pa	استت
استرا	pa	استرا
استاد	pa	استاد
اوٹھ	pa	اوٹھ
اوٹھݨی	pa	اوٹھݨی
اودݨ	pa	اودݨ
اوداں	pa	اوداں
اوڑیسا	pa	اوڑیسا
اوکھا	pa	اوکھا
کجوڑ	pa	کجوڑ
کٹھور	pa	کٹھور
کتل	pa	کتل
کتلام	pa	کتلام
کنوںن	pa	کنُوںن
کر	pa	کر
کرکے	pa	کرکے
کرتار	pa	کرتار
کردا	pa	کردا
کردآں	pa	کردِآں
کردے	pa	کردے
کرن	pa	کرن
کرنگے	pa	کرنگے
کرنا	pa	کرنا
کرناٹک	pa	کرناٹک
کرےگا	pa	کرےگا
کروگے	pa	کروگے
کلم	pa	کلم
کلمگھڑا	pa	کلمگھڑا
کلا	pa	کلا
کلآݨ	pa	کلِآݨ
کلےش	pa	کلےش
کشٹ	pa	کشٹ
کشتی	pa	کشتی
کہاݨی	pa	کہاݨی
کہی	pa	کہی
کاں	pa	کاں
کاغز	pa	کاغز
کاج	pa	کاج
کانوںن	pa	کانُوںن
کاپی	pa	کاپی
کافی	pa	کافی
کاࣇا	pa	کاࣇا
کاہدا	pa	کاہدا
کتاب	pa	کِتاب
کتے	pa	کِتے
کرن	pa	کِرن
کرس	pa	کِرس
کوےں	pa	کِوےں
کسم	pa	کِسم
کسمت	pa	کِسمت
کہڑا	pa	کِہڑا
کتھے	pa	کِتھّے
کتھوں	pa	کِتھّوں
کداں	pa	کِدّاں
کیتا	pa	کیتا
کیتآں	pa	کیتِآں
کیتی	pa	کیتی
کیتے	pa	کیتے
ک	pa	کُ
کچھ	pa	کُچھ
کجھ	pa	کُجھ
کمار	pa	کُمار
کلچا	pa	کُلچا
کہیر	pa	کُہیر
کڑی	pa	کُڑی
کٹݨا	pa	کُٹّݨا
کتا	pa	کُتّا
کوہݨی	pa	کُوہݨی
کوڑ	pa	کُوڑ
کےرلا	pa	کےرلا
کےلا	pa	کےلا
کےسو	pa	کےسُو
کوڈین	pa	کوڈین
کوࣇ	pa	کوࣇ
کوہرا	pa	کوہرا
کرسمس	pa	کْرِسمس
کڑچھی	pa	کڑچھی
کڑاہ	pa	کڑاہ
ککا	pa	ککّا
کڈھݨا	pa	کڈھّݨا
کپڑا	pa	کپّڑا
کسݨا	pa	کسّݨا
کھجور	pa	کھجُور
کھتا	pa	کھتا
کھسکھس	pa	کھسکھس
کھسکھاس	pa	کھسکھاس
خ	pa	خ
خترا	pa	خترا
ختا	pa	ختا
خبردار	pa	خبردار
خالستان	pa	خالِستان
خاس	pa	خاس
خآل	pa	خِآل
خون	pa	خُون
کھا	pa	کھا
کھاد	pa	کھاد
کھاساں	pa	کھاساں
کھاسوں	pa	کھاسُوں
کھآل	pa	کھِآل
کھآلات	pa	کھِآلات
کھآلی	pa	کھِآلی
کھڑکی	pa	کھِڑکی
کھچݨا	pa	کھِچّݨا
کھتی	pa	کھِتّی
کھدکشی	pa	کھُدکُشی
کھرپا	pa	کھُرپا
کھسرا	pa	کھُسرا
کھےڈݨا	pa	کھےڈݨا
کھوتا	pa	کھوتا
کھول	pa	کھول
کھوہݨا	pa	کھوہݨا
کھکھا	pa	کھکھّا
کھچر	pa	کھچّر
کھتری	pa	کھتّری
کھسݨا	pa	کھسّݨا
گگن	pa	گگن
گٹھا	pa	گٹھا
گݨت	pa	گݨِت
گنر	pa	گنر
گرم	pa	گرم
گرفتار	pa	گرِفتار
گرےبان	pa	گرےبان
غ	pa	غ
غزا	pa	غزا
غنیمت	pa	غنیمت
گاں	pa	گاں
گاجر	pa	گاجر
گازا	pa	گازا
گآراں	pa	گِآراں
گرجا	pa	گِرجا
گدڑ	pa	گِدّڑ
گجرات	pa	گُجرات
گݨ	pa	گُݨ
گݨجیت	pa	گُݨجیت
گدا	pa	گُدا
گردآرا	pa	گُردُآرا
گرپرب	pa	گُرپُرب
گرو	pa	گُرُو
گلشن	pa	گُلشن
گلال	pa	گُلال
گلستان	pa	گُلِستان
گٹ	pa	گُٹّ
گوڈا	pa	گوڈا
گورا	pa	گورا
گگا	pa	گگّا
گڈی	pa	گڈّی
گدی	pa	گدّی
گبھݨ	pa	گبھّݨ
گھرانا	pa	گھرانا
گھات	pa	گھات
گھاہ	pa	گھاہ
گھدا	pa	گھِدا
گھنݨا	pa	گھِنݨا
گھے	pa	گھے
گھوڑا	pa	گھوڑا
گھوڑی	pa	گھوڑی
گھڑی	pa	گھڑی
گھگھا	pa	گھگھّا
گھلݨا	pa	گھلّݨا
چچےر	pa	چچےر
چچےرا	pa	چچےرا
چݨاکھ	pa	چݨاکھ
چپےڑ	pa	چپےڑ
چاکو	pa	چاکُو
چار	pa	چار
چالباجی	pa	چالباجی
چاࣇی	pa	چاࣇی
چاہ	pa	چاہ
چاہیدا	pa	چاہیدا
چکڑی	pa	چِکڑی
چڑی	pa	چِڑی
چٹا	pa	چِٹّا
چترا	pa	چِتّرا
چی	pa	چی
چتاࣇی	pa	چُتاࣇی
چںنی	pa	چُںنی
چپ	pa	چُپّ
چوہا	pa	چُوہا
چوڑی	pa	چُوڑی
چےتاونی	pa	چےتاونی
چور	pa	چور
چوࣇا	pa	چوࣇا
چولا	pa	چولا
چوتی	pa	چوتی
چوتھا	pa	چوتھا
چوداں	pa	چوداں
چوڑا	pa	چوڑا
چچا	pa	چچّا
چٹݨا	pa	چٹّݨا
چھکݨا	pa	چھکݨا
چھکڑا	pa	چھکڑا
چھتاࣇی	pa	چھتاࣇی
چھرا	pa	چھُرا
چھٹی	pa	چھُٹّی
چھے	pa	چھے
