آس	pa	آس
آنا	pa	آنا
آندر	pa	آندر
آنڈا	pa	آنڈا
آواز	pa	آواز
آٹا	pa	آٹا
آکاش	pa	آکاش
آکڑ	pa	آکڑ
آکھنا	pa	آکھنا
آں	pa	آں
آہڈا	pa	آہڈا
ابا	pa	ابا
ادھ	pa	ادھ
ادھا	pa	ادھا
استھی	pa	استھی
اسر	pa	اسُر
اشہل	pa	اشہل
اشہل	pa	اشہل
اصفہان	pa	اصْفہان
اللہ	pa	اللہ
الہڑ	pa	الہڑ
امل	pa	امل
انار	pa	انار
اناناس	pa	اناناس
انملا	pa	انمُلا
انگی	pa	انگی
انھا	pa	انھا
اوداں	pa	اوداں
اولھا	pa	اولھا
اٹاری	pa	اٹاری
اٹل	pa	اٹل
اٹھ	pa	اٹھ
اٹھارہ	pa	اٹھارہ
اچار	pa	اچار
اکنا	pa	اکنا
اکھ	pa	اکھ
اکھاں	pa	اکھاں
اکھر	pa	اکھر
اگ	pa	اگ
ایہہ	pa	ایہہَ
باجی	pa	باجی
بادام	pa	بادام
باری	pa	باری
باسی	pa	باسی
باقی	pa	باقی
بالنا	pa	بالنا
باندر	pa	باندر
باگھ	pa	باگھ
باگھا	pa	باگھا
باہر	pa	باہر
بتی	pa	بتی
بجلی	pa	بِجلی
بدتمیز	pa	بدْتمیز
بدل	pa	بدل
بدلنا	pa	بدلنا
بدھوار	pa	بُدھوار
برا	pa	بُرا
برات	pa	برات
برف	pa	برف
بسنت	pa	بسنْت
بسورا	pa	بسُورا
بلھ	pa	بُلھ
بلھا	pa	بُلھا
بلھاں	pa	بُلھاں
بندوق	pa	بندُوق
بندہ	pa	بندہ
بندی	pa	بِندی
بندے	pa	بندے
بنڈ	pa	بُنْڈ
بنگالی	pa	بنگالی
بنھنا	pa	بنَھنا
بوتھا	pa	بُوتھا
بولنا	pa	بولنا
بوٹا	pa	بُوٹا
بوڑھ	pa	بوڑھ
بوہا	pa	بُوہا
بوہڑ	pa	بوہڑ
بچانا	pa	بچانا
بچنا	pa	بچنا
بڑا	pa	بڑا
بکرماجیت	pa	بِکْرماجیت
بکری	pa	بکری
بھا	pa	بھا
بھائی	pa	بھائی
بھابی	pa	بھابی
بھار	pa	بھار
بھارا	pa	بھارا
بھانڈا	pa	بھانڈا
بھرا	pa	بِھرا
بھرا	pa	بْھْرا
بھسوڑی	pa	بھسُوڑی
بھلنا	pa	بھُلنا
بھلک	pa	بھلک
بھنگڑا	pa	بھنْگڑا
بھنگڑے	pa	بھنْگْڑے
بھونڈ	pa	بھُونْڈ
بھونڈا	pa	بھُونڈا
بھونڈاں	pa	بھُونڈاں
بھونڈو	pa	بھُونڈو
بھٹو	pa	بھُٹو
بیماری	pa	بیماری
بیوی	pa	بِیوی
تار	pa	تار
تارا	pa	تارا
تارے	pa	تارے
تتا	pa	تتا
تراویح	pa	تراویح
تراہ	pa	تْراہ
ترک	pa	تْرک
تری	pa	تُری
تریہہ	pa	تْریہہَ
تساں	pa	تُساں
تسیں	pa	تُسیں
تصویر	pa	تصویر
تفسیر	pa	تفسیر
تمک	pa	تمک
تن	pa	تِن
تند	pa	تنْد
تند	pa	تُنْد
توتا	pa	توتا
تکنا	pa	تکنا
تکے	pa	تکے
تکے	pa	تِکے
تھاتی	pa	تھاتی
تھلا	pa	تھلا
تھلے	pa	تھلے
تھمھنا	pa	تھمھنا
تھوم	pa	تھوم
تھک	pa	تھُک
تھک	pa	تھُک
تہاڈا	pa	تُہاڈا
تہمت	pa	تُہمت
تے	pa	تے
جال	pa	جال
جان	pa	جان
جانجی	pa	جانجی
جاپدا	pa	جاپدا
جاپنا	pa	جاپنا
جاگ	pa	جاگ
جاگنا	pa	جاگنا
جبھ	pa	جِبھ
جبھ	pa	جِبھ
جت	pa	جِت
جتا	pa	جُتا
جتی	pa	جُتی
جدوں	pa	جدوں
جمعہ	pa	جُمعہ
جنا	pa	جنا
جنت	pa	جنت
جنج	pa	جنْج
جنج	pa	جِنْج
جند	pa	جِنْد
جنگ	pa	جنْگ
جوائی	pa	جَوائی
جوڑا	pa	جوڑا
جوگا	pa	جوگا
جگ	pa	جگ
جگ	pa	جگ
جگانا	pa	جگانا
جھاتی	pa	جھاتی
جھاٹا	pa	جھاٹا
جھلا	pa	جھلا
جھناں	pa	جھناں
جھنڈا	pa	جھنڈا
جھنگوچی	pa	جْھنگوچی
جھنگوچی	pa	جْھنگوچی
جھنگوی	pa	جْھنْگَوی
جھنگوی	pa	جْھنْگَوی
جھولی	pa	جھولی
جھوٹھ	pa	جھُوٹھ
جھوٹھ	pa	جھُوٹھ
جھٹکا	pa	جھٹکا
جھڑ	pa	جھڑ
جھگ	pa	جھگ
جھیل	pa	جھیل
جہاز	pa	جْہاز
جیبھ	pa	جیبھ
جیت	pa	جیت
جیجا	pa	جیجا
جے	pa	جے
حال	pa	حال
حالے	pa	حالے
حتیجہ	pa	حتیجہ
حتیجہ	pa	حتیجہ
حدیجہ	pa	حدیجہ
حدیجہ	pa	حدیجہ
حرف	pa	حرْف
حرف	pa	حرف
حسن	pa	حُسن
حق	pa	حق
حماقت	pa	حماقت
حور	pa	حُور
حیاتی	pa	حَیاتی
خالصہ	pa	خالِصہ
ختم	pa	ختم
ختیجہ	pa	ختیجہ
خدیجہ	pa	خدیجہ
خراٹا	pa	خراٹا
خطا	pa	خطا
خفتاں	pa	خُفتاں
خنازیر	pa	خنازیر
خنزیر	pa	خنزیر
خچر	pa	خچر
داج	pa	داج
دادا	pa	دادا
دادی	pa	دادی
داہ	pa	داہ
دبئی	pa	دُبئی
ددھ	pa	دُدھ
دروازہ	pa	دروازہ
دستار	pa	دستار
دسدا	pa	دسدا
دسدا	pa	دِسدا
دعا	pa	دُعا
دغا	pa	دغا
دفتر	pa	دفتر
دلوں	pa	دِلوں
دلچسپ	pa	دِلچسْپ
دن	pa	دِن
دند	pa	دنْد
دو	pa	دو
دوا	pa	دَوا
دواکھا	pa	دَواکھا
دھرتی	pa	دَھرِتی
دھروہنا	pa	دھرُوہنا
دھریک	pa	دھریک
دھریکدا	pa	دھریکدا
دھموڑی	pa	دھمُوڑی
دھند	pa	دھُنْد
دھنیا	pa	دھنِیا
دھواں	pa	دھُواں
دھوڑ	pa	دھُوڑ
دھپ	pa	دھُپ
دھکا	pa	دھکا
دھی	pa	دھی
دہ	pa	دہ
دہ	pa	دہ
دہ	pa	دَہ
دہانا	pa	دُہانا
دیوا	pa	دِیوا
دیپک	pa	دیپک
دیپکا	pa	دیپِکا
رات	pa	رات
راج	pa	راج
راخش	pa	راخش
رال	pa	رال
راوی	pa	راوی
رب	pa	رب
ربا	pa	ربا
رت	pa	رت
رت	pa	رُت
رتا	pa	رتا
رلنا	pa	رلنا
رلنا	pa	رُلنا
رنڈی	pa	رنڈی
رنگ	pa	رنْگ
رو	pa	رو
روح	pa	رُوح
رونا	pa	رونا
روندل	pa	روندل
روگ	pa	روگ
رکھ	pa	رُکھ
رکھنا	pa	رکھنا
زبان	pa	زبان
زبان	pa	زبان
زلزلہ	pa	زلْزلہ
زلف	pa	زُلْف
زمین	pa	زمین
زمیں	pa	زِمیں
زنانی	pa	زنانی
سانجھ	pa	سانْجھ
سانجھا	pa	سانجھا
ساوا	pa	ساوا
ساڈا	pa	ساڈا
ساہ	pa	ساہ
ساہ	pa	ساہ
ساہمنا	pa	ساہمنا
ستارہ	pa	ستارہ
ستارہ	pa	سِتارہ
ستونگڑا	pa	ستُونْگڑا
سدا	pa	سدا
سدا	pa	سدا
سدانا	pa	سدانا
سدنا	pa	سدنا
سدوانا	pa	سدوانا
سدھر	pa	سدھر
سر	pa	سِر
سرائیکی	pa	سِرائیکی
سراپ	pa	سراپ
سردار	pa	سردار
سرکار	pa	سرکار
سرگھی	pa	سرگھی
سرگھی	pa	سرگھی
سرہانا	pa	سرہانا
سرہانا	pa	سِرہانا
سرہوں	pa	سرِہوں
سس	pa	سس
سعودی	pa	سعُودی
سلام	pa	سلام
سلو	pa	سلُو
سلہٹ	pa	سِلہٹ
سماج	pa	سماج
سنجھ	pa	سنْجھ
سنچھر	pa	سنِچھر
سنگھ	pa	سِنْگھ
سنگھئیے	pa	سُنگھئیے
سنگھاں	pa	سُنگھاں
سنگھنا	pa	سُنْگھْنا
سنگھو	pa	سُنگھو
سنگھی	pa	سُنگھی
سنگھیاں	pa	سُنگھِیاں
سنگھیں	pa	سُنگھیں
سنگھے	pa	سُنگھے
سوار	pa	سَوار
سودھ	pa	سودھ
سور	pa	سُور
سورج	pa	سُورج
سوموار	pa	سوموار
سوچ	pa	سوچ
سوچنا	pa	سوچنا
سوہا	pa	سُوہا
سوہنا	pa	سوہنا
سٹ	pa	سٹ
سٹنا	pa	سٹنا
سٹنا	pa	سِٹنا
سٹنا	pa	سُٹنا
سٹوری	pa	سْٹوری
سپ	pa	سپ
سپتاہ	pa	سپتاہ
سچا	pa	سچا
سچا	pa	سُچا
سکنجویں	pa	سِکنْجَویں
سکھی	pa	سکھی
سہا	pa	سہا
سہی	pa	سہی
سہی	pa	سہی
شاباش	pa	شاباش
شارجہ	pa	شارجہ
شام	pa	شام
شاگرد	pa	شاگِرْد
شاہ	pa	شاہ
شاہاں	pa	شاہاں
شرارت	pa	شرارت
شطونگڑا	pa	شطُونْگڑا
شوخا	pa	شوخا
شکر	pa	شکر
شکر	pa	شکْر
شکر	pa	شُکر
شکر	pa	شُکْر
شگر	pa	شُگر
صاحب	pa	صاحْب
صبر	pa	صبر
صحیح	pa	صحیح
صحیح	pa	صحیح
صفت	pa	صِفت
طرحاں	pa	طرحاں
طوطا	pa	طوطا
عالم	pa	عالم
عرب	pa	عرب
عزت	pa	عِزت
عید	pa	عید
غذا	pa	غذا
غریب	pa	غریب
غلط	pa	غلط
غم	pa	غم
غنیمت	pa	غنیمت
دا	pa	دا
نا	pa	نا
ڑی	pa	ڑی
فجر	pa	فجر
فجر	pa	فجر
فوڑ	pa	فوڑ
قافلہ	pa	قافلہ
قافلہ	pa	قافِلہ
قسمت	pa	قِسمت
لارا	pa	لارا
لاری	pa	لاری
لاش	pa	لاش
لال	pa	لال
لام	pa	لام
لانگھا	pa	لانگھا
لاکھا	pa	لاکھا
لاگا	pa	لاگا
لاہنا	pa	لاہنا
لت	pa	لت
لتاں	pa	لتاں
لتر	pa	لِتر
لتھنا	pa	لتھنا
لداخ	pa	لداخ
لدنا	pa	لدنا
لدنا	pa	لُدنا
لفظ	pa	لفْظ
لفظ	pa	لفظ
لفظ	pa	لفظ
للی	pa	لُلی
لما	pa	لما
لن	pa	لن
لنگھانا	pa	لنگھانا
لنگھنا	pa	لنْگھنا
لوسنا	pa	لُوسنا
لون	pa	لُون
لوڑ	pa	لوڑ
لوک	pa	لوک
لوکی	pa	لوکی
لوں	pa	لُوں
لڈو	pa	لڈُو
لڑنا	pa	لڑنا
لک	pa	لک
لکانا	pa	لُکانا
لکنا	pa	لُکنا
لھاسہ	pa	لھاسہ
لہور	pa	لْہور
لیتا	pa	لیتا
لیتا	pa	لیتا
لیہہ	pa	لیہہَ
ماس	pa	ماس
ماسٹر	pa	ماسٹر
ماسی	pa	ماسی
ماسی	pa	ماسی
مالی	pa	مالی
ماڑا	pa	ماڑا
ماکھی	pa	ماکھی
ماگھر	pa	ماگھِر
ماں	pa	ماں
ماہ	pa	ماہ
ماہی	pa	ماہی
ماہیا	pa	ماہیا
متھا	pa	متھا
متھنا	pa	مِتھنا
مجھ	pa	مجھ
محلہ	pa	محلہ
مذہب	pa	مذہب
مرنا	pa	مرنا
مزید	pa	مزید
مسعود	pa	مسعُود
مسکان	pa	مُسکان
مسیت	pa	مسیت
مشغول	pa	مشغُول
مصالحہ	pa	مصالِحہ
مصر	pa	مِصر
مل	pa	مُل
ملوک	pa	ملُوک
ملک	pa	مُلک
ملکہ	pa	ملِکہ
منانا	pa	منانا
منجی	pa	منجی
مننا	pa	مننا
منٹ	pa	مِنٹ
منٹ	pa	مِنْٹ
منڈا	pa	مُنڈا
منڈی	pa	منڈی
منگ	pa	منْگ
منگنا	pa	منْگْنا
موتر	pa	مُوتر
مورچہ	pa	مورچہ
موری	pa	موری
مٹھ	pa	مٹھ
مٹھا	pa	مِٹھا
مٹی	pa	مِٹی
مڈھ	pa	مُڈھ
مکانا	pa	مُکانا
مکنا	pa	مُکنا
مگر	pa	مگر
مگرمچھ	pa	مگرمچھ
مگرمچھ	pa	مگرمچھ
نئیں	pa	نئیں
نار	pa	نار
نارنگی	pa	نارنگی
ناس	pa	ناس
نال	pa	نالِ
نان	pa	نان
نانی	pa	نانی
ناڑ	pa	ناڑ
نبے	pa	نبے
ندی	pa	ندی
نسنا	pa	نسنا
نم	pa	نِم
نماز	pa	نماز
نماشاں	pa	نماشاں
نواں	pa	نَواں
نوں	pa	نُوں
نچانا	pa	نچانا
نچنا	pa	نچنا
نڑنوے	pa	نڑِنوے
نک	pa	نک
نکر	pa	نُکر
نگاہ	pa	نِگاہ
نگر	pa	نگر
نگر	pa	نِگُر
نگھ	pa	نِگھ
نہیں	pa	نہیں
نہیں	pa	نہیں
نیر	pa	نیر
نیل	pa	نیل
نیندر	pa	نیندر
نیواں	pa	نِیواں
نے	pa	نے
وار	pa	وار
وارنا	pa	وارنا
واری	pa	واری
واٹ	pa	واٹ
واڑنا	pa	واڑنا
واہر	pa	واہر
وتر	pa	وتر
وجانا	pa	وجانا
ودھر	pa	ودھر
ورگا	pa	ورگا
ورھا	pa	ورھا
وسدا	pa	وسدا
وسنا	pa	وسنا
وسو	pa	وسو
ول	pa	ولِ
ولوں	pa	ولوں
ونجنا	pa	ونْجنا
ونڈنا	pa	ونْڈنا
ونگ	pa	ونْگ
وٹ	pa	وٹ
وٹا	pa	وٹا
وٹا	pa	وٹا
وٹانا	pa	وٹانا
وٹاندرا	pa	وٹانْدْرا
وڈا	pa	وڈا
وڑنا	pa	وڑنا
وکھت	pa	وکھت
وکیل	pa	وکیل
وگنا	pa	وگنا
