_و	ps	waːw
_؛	ps	waqfə
_،	ps	ɖranɖəj
_۔	ps	ʈəkaj
_؟	ps	puʃtənaj
او	ps	aw
په	ps	pə
کې	ps	keː
نه	ps	nə
هم	ps	həm
شي	ps	ʃi
ته	ps	tə
خو	ps	xo
له	ps	lə
به	ps	bə
دا	ps	daː
ډېر	ps	ɖeːr
وي	ps	wi
څه	ps	tsə
یو	ps	jəw
کړي	ps	kəɽi
ښه	ps	ʂə
یې	ps	jeː
کوي	ps	kəwi
خپل	ps	xəpəl
تر	ps	tər
دي	ps	di
ځان	ps	dzaːn
شو	ps	ʃo
لري	ps	ləri
شوي	ps	ʃəwi
لپاره	ps	ləpaːrə
مې	ps	meː
کار	ps	kaːr
بل	ps	bəl
وکړ	ps	wəkəɽ
ډول	ps	ɖol
لاره	ps	laːrə
کولو	ps	kolu
خلک	ps	xələk
ورته	ps	wərtə
شوه	ps	ʃwə
لکه	ps	ləkə
پورې	ps	poreː
دوه	ps	dwə
مو	ps	mu
ټول	ps	ʈol
وه	ps	wə
کړ	ps	kəɽ
ژوند	ps	ʒəwənd
لوی	ps	loj
تاسو	ps	taːso
هغه	ps	həʁə
کولی	ps	kəwləj
وخت	ps	wəxt
کلی	ps	kələj
دغه	ps	dəʁə
موږ	ps	muʁ
یوه	ps	jəwə
سلام	ps	səlaːm
زه	ps	zə
پښتو	ps	pəʂto
يم	ps	jəm
ژبه	ps	ʒəbə
ستړی	ps	stəɽəj
مشه	ps	məʃə
څنګه	ps	tsənɡə
يې	ps	jeː
څوک	ps	tsok
دلته	ps	dəltə
هلته	ps	həltə
کور	ps	koːr
ښار	ps	ʂaːr
هېواد	ps	heːwaːd
افغانستان	ps	afʁaːnəstaːn
پاکستان	ps	paːkəstaːn
ښوونځی	ps	ʂoːwəndzəj
پوهنتون	ps	poːhəntuːn
کتاب	ps	kətaːb
قلم	ps	qələm
میز	ps	meːz
موټر	ps	moːʈər
لار	ps	laːr
سړک	ps	səɽək
اوبه	ps	oːbə
ډوډۍ	ps	ɖoːɖəj
شپه	ps	ʃpə
ورځ	ps	wrədz
کال	ps	kaːl
ساعت	ps	saːət
دقیقه	ps	dəqiːqə
ثانیه	ps	saːnjə
ښځه	ps	ʂədzə
نارینه	ps	naːriːnə
ماشوم	ps	maːʃum
زوی	ps	zoj
لور	ps	loːr
ورور	ps	wroːr
خور	ps	xoːr
پلار	ps	plaːr
مور	ps	moːr
کورنۍ	ps	koːrnəj
ملګری	ps	məlɡəre
دوست	ps	doːst
دښمن	ps	dəʂmən
ښوونکی	ps	ʂoːwənkəj
زده	ps	zdə
زده_کوونکی	ps	zdəkoːwənkəj
ډاکټر	ps	ɖaːkʈər
انجینر	ps	andzineːr
بزګر	ps	bəzɡər
سوداګر	ps	səwdaːɡər
پولیس	ps	poːlis
عسکر	ps	əskər
وزیر	ps	wəziːr
ولسمشر	ps	wələsməʃər
خدای	ps	xudaːj
جومات	ps	d͡ʒumaːt
لمونځ	ps	ləmondz
روژه	ps	roːʒə
حج	ps	həd͡ʒ
زکات	ps	zəkaːt
اسلام	ps	islaːm
مسلمان	ps	məsəlmaːn
قرآن	ps	quraːn
حدیث	ps	hədis
سنت	ps	sənət
فرض	ps	fərz
واجب	ps	waːd͡ʒəb
حرام	ps	həraːm
حلال	ps	həlaːl
مکروه	ps	məkruːh
مباح	ps	məbaːh
جنت	ps	d͡ʒənət
دوزخ	ps	doːzəx
ملائکه	ps	məlaːikə
پیغمبر	ps	pəjʁəmbər
صحابه	ps	səhaːbə
تابعین	ps	taːbiiːn
علماء	ps	uləmaː
مشران	ps	məʃraːn
کشران	ps	kəʃraːn
ځوانان	ps	dzwaːnaːn
زاړه	ps	zaːɽə
ناروغ	ps	naːroʁ
روغ	ps	roʁ
ښکلی	ps	ʂəkləj
بد	ps	bəd
خراب	ps	xəraːb
کوچنی	ps	kot͡ʃnəj
اوږد	ps	oːʁd
لنډ	ps	lənɖ
پلن	ps	plən
نری	ps	nərəj
دروند	ps	dərwnd
سپک	ps	spək
تود	ps	toːd
یخ	ps	jəx
وچ	ps	wət͡ʃ
لوند	ps	lwənd
نوی	ps	nəwəj
زوړ	ps	zoːɽ
پاک	ps	paːk
ناپاک	ps	naːpaːk
سپین	ps	spiːn
تور	ps	toːr
سور	ps	soːr
شین	ps	ʃiːn
ژیړ	ps	ʒeːɽ
آبي	ps	aːbi
نارنجي	ps	naːrənd͡ʒi
بنفش	ps	bənəfʃ
خړ	ps	xəɽ
نسواري	ps	nəswaːri
طلایي	ps	təlaːji
نقره‌یي	ps	nəqrəji
ءالحدود	ps	ʔaːlhuduːd
ءانآ	ps	ʔaːnaː
ءت	ps	ʔət
آء	ps	aːʔ
آؤ	ps	aːw
آئ	ps	aːi
آئت	ps	aːit
آئتلاف	ps	aːitlaːf
آئتلافی	ps	aːitlaːfiː
آئنده	ps	aːində
آئى	ps	aːiː
آئيتلافى	ps	aːiːtlaːfiː
آئيـــن	ps	aːiːn
آئين	ps	aːiːn
آئينه	ps	aːiːnə
آئينې	ps	aːiːne
آئی	ps	aːiː
آئین	ps	aːiːn
آئینه	ps	aːiːnə
آئینۀ	ps	aːiːnə
آا	ps	aːaː
آازاد	ps	aːzaːd
آازادی	ps	aːzaːdiː
آاواز	ps	aːwaːz
آب	ps	aːb
آبآد	ps	aːbaːd
آبا	ps	aːbaː
آباؤو	ps	aːbaːuː
آبائكم	ps	aːbaːikəm
آبابا	ps	aːbaːbaː
آبات	ps	aːbaːt
آباد	ps	aːbaːd
آبادئ	ps	aːbaːdiː
آبادان	ps	aːbaːdaːn
آباداوهندوستان	ps	aːbaːdaːwhindustaːn
آباداوګراني	ps	aːbaːdaːwɡraːniː
آبادتل	ps	aːbaːdtəl
آبادته	ps	aːbaːdtə
آبادد	ps	aːbaːdd
آباددا	ps	aːbaːddaː
آبادروغتون	ps	aːbaːdruʁtun
آبادسمه	ps	aːbaːdsəmə
آبادمدیر	ps	aːbaːdmədiːr
آباده	ps	aːbaːdə
آبادهم	ps	aːbaːdhəm
آبادو	ps	aːbaːduː
آبادول	ps	aːbaːdul
آبادولو	ps	aːbaːduluː
آبادولى	ps	aːbaːduliː
آبادولی	ps	aːbaːduliː
آبادونې	ps	aːbaːdune
آبادوو	ps	aːbaːduːw
آبادوي	ps	aːbaːduːiː
آبادوی	ps	aːbaːduːiː
آبادى	ps	aːbaːdiː
آبادي	ps	aːbaːdiː
آباديدی	ps	aːbaːdiːdiː
آباديو	ps	aːbaːdiːuː
آباديږي	ps	aːbaːdiːd͡ʒiː
آبادڅخه	ps	aːbaːddzəxə
آبادچې	ps	aːbaːd͡ʒe
آبادکارۍ	ps	aːbaːdkaːriː
آبادکې	ps	aːbaːdke
آبادی	ps	aːbaːdiː
آبادیو	ps	aːbaːdiːuː
آبادیږي	ps	aːbaːdiːd͡ʒiː
آبادیږی	ps	aːbaːdiːd͡ʒiː
آبادۍ	ps	aːbaːdiː
آبادې	ps	aːbaːde
آبادېږې	ps	aːbaːded͡ʒe
آباسين	ps	aːbaːsiːn
آبايى	ps	aːbaːiː
آبایی	ps	aːbaːiː
آبجكت	ps	aːbd͡ʒəkt
آبد	ps	aːbd
آبدا	ps	aːbdaː
آبدات	ps	aːbdaːt
آبداره	ps	aːbdaːrə
آبدارې	ps	aːbdaːre
آبده	ps	aːbdə
آبدي	ps	aːbdiː
آبردين	ps	aːbərdiːn
آبرسانۍ	ps	aːbrsaːniː
آبرو	ps	aːbruː
آبرومند	ps	aːbrumənd
آبرومندانه	ps	aːbruməndaːnə
آبرومندی	ps	aːbruməndiː
آبرومندۍ	ps	aːbruməndiː
آبرون	ps	aːbruːn
آبروی	ps	aːbruːiː
آبريتانيکاآ	ps	aːbritaːniːkaːaː
آبرېشم	ps	aːbreʃəm
آبزرور	ps	aːbzrur
آبس	ps	aːbs
آبسالی	ps	aːbsaːliː
آبشار	ps	aːbʃaːr
آبشارونه	ps	aːbʃaːrunə
آبـا	ps	aːbaː
