وشوہ	urd	ʋˈɪʃʋ
وشوه	urd	ʋˈɪʃʋ
کتا	urd	kˈʊt̪ːɑː
اے	urd	ˈɛː
او	urd	ˈoː
نہ	urd	nˈə
کمل	urd	kˈəməl
کیا	urd	kjˈɑː
نام	urd	nˈɑːm
کلکتہ	urd	kˈoːlkɑːt̪ɑː
بدھ	urd	bˈʊd̪ʱː
ہندی	urd	ɦˈɪ̃n̪d̪iː
آسن	urd	ˈɑːsən
سنسکرت	urd	sˈə̃skɾɪt̪
سمدر	urd	səmˈʊd̪ɾ
پلک	urd	pˈələk
ترنگ	urd	t̪əɾˈə̃ŋɡ
تیر	urd	t̪ˈiːɾ
اوم	urd	ˈõːm
نیپالی	urd	neːpˈɑːliː
مہاراشٹر	urd	məɦɑːɾˈɑːʃʈɾ
کرنا	urd	kˈəɾnɑː
پینا	urd	pˈiːnɑː
کھانا	urd	kʰˈɑːnɑː
ون	urd	ʋˈən
سندھی	urd	sˈə̃n̪d̪ʱɪ
گج	urd	ɡˈəd͡ʒ
یدی	urd	jˈəd̪ɪ
گرہ	urd	ɡɾˈɪɦ
میگھ	urd	mˈeːɡʱ
آکاش	urd	ɑːkˈɑːʃ
وکشنری	urd	ʋɪkʃˈənɾiː
مورکھ	urd	mˈuːɾkʰ
پانی	urd	pˈɑːniː
ولی	urd	ʋˈəliː
مدھر	urd	mˈəd̪ʱʊɾ
تیلگو	urd	t̪ˈeːlʊɡʊ
سوستک	urd	sʋˈəst̪ɪk
شبدکوش	urd	ʃəbd̪əkˈoːʃ
شنیوار	urd	ʃənɪʋˈɑːɾ
تامل	urd	t̪ˈəmɪl
شانتی	urd	ʃˈɑː̃n̪t̪ɪ
انواد	urd	ənʊʋˈɑːd̪
انراگ	urd	ənʊɾˈɑːɡ
چینی	urd	t͡ʃˈiːniː
دیوتا	urd	d̪ˈeːʋt̪ɑː
ایشور	urd	ˈiːʃʋəɾ
پرمیشور	urd	pəɾmˈeːʃʋəɾ
پرماتما	urd	pəɾmˈɑːt̪mɑː
آسام	urd	ɑːsˈɑːm
پونڈیچری	urd	pˈɔː̃ɳɖɪt͡ʃeːɾiː
کرناٹک	urd	kəɾnˈɑːʈək
بنگلور	urd	bə̃ŋɡəlˈuːɾ
رنگ	urd	ɾˈə̃ŋɡ
لال	urd	lˈɑːl
سندوری	urd	sˈɪ̃n̪d̪uːɾiː
سندور	urd	sɪ̃n̪d̪ˈuːɾ
گاڑی	urd	ɡˈɑːɽiː
پھل	urd	pʰˈəl
ڈھولک	urd	ɖʱˈoːlək
نیلا	urd	nˈiːlɑː
وستو	urd	ʋˈəst̪ʊ
بھارت	urd	bʱˈɑːɾət̪
ایک	urd	ˈeːk
آلو	urd	ˈɑːluː
اردو	urd	ˈʊɾd̪uː
دو	urd	d̪ˈoː
تین	urd	t̪ˈiːn
لوگ	urd	lˈoːɡ
پنکھ	urd	pˈə̃ŋkʰ
پر	urd	pˈəɾ
آذربائیجان	urd	əzəɾbɛːd͡ʒˈɑːn
سیب	urd	sˈeːb
بنگالی	urd	bˈə̃ŋɡɑːliː
روم	urd	ɾˈoːm
کالا	urd	kˈɑːlɑː
کرشن	urd	kɾˈɪʃɳ
شویت	urd	ʃʋˈeːt̪
ماتر	urd	mˈɑːt̪ɾɪ
اٹلی	urd	ˈɪʈliː
آپ	urd	ˈɑːp
فرانسیسی	urd	fɾɑː̃sˈiːsiː
اگنی	urd	ˈəɡnɪ
بادام	urd	bɑːd̪ˈɑːm
سنسکرتی	urd	sˈə̃skɾɪt̪ɪ
کبوتر	urd	kəbˈuːt̪əɾ
کپوت	urd	kəpˈoːt̪
گجراتی	urd	ɡʊd͡ʒɾˈɑːt̪iː
انگریزی	urd	ˈə̃ŋɡɾeːziː
پیار	urd	pjˈɑːɾ
درپں	urd	d̪ˈəɾpəɳ
شکریہ	urd	ʃˈʊkɾɪjɑː
گھرنا	urd	ɡʱɾˈɪɳɑː
دینا	urd	d̪ˈeːnɑː
شیطان	urd	ʃɛːt̪ˈɑːn
شہتوت	urd	ʃəɦt̪ˈuːt̪
ٹماٹر	urd	ʈəmˈɑːʈəɾ
تامر	urd	t̪ˈɑːmɾ
بھاشا	urd	bʱˈɑːʃɑː
زبان	urd	d͡ʒəbˈɑːn
بولی	urd	bˈoːliː
گنیش	urd	ɡəɳˈeːʃ
مندر	urd	mˈə̃n̪d̪ɪɾ
بیج	urd	bˈiːd͡ʒ
دیش	urd	d̪ˈeːʃ
جن	urd	d͡ʒˈən
متسیہ	urd	mˈət̪sj
کاویہ	urd	kˈɑːʋj
لاوا	urd	lˈɑːʋɑː
حلق	urd	ɦˈələq
زہر	urd	zˈɛɦɛɾ
کرسمس	urd	kɾˈɪsməs
اشو	urd	ˈəʃʋ
آسمان	urd	ɑːsmˈɑːn
گگن	urd	ɡˈəɡən
نیپال	urd	neːpˈɑːl
تم	urd	t̪ˈʊm
تو	urd	t̪ˈuː
سفید	urd	səfˈeːd̪
قبرستان	urd	qəbɾɪst̪ˈɑːn
زیتون	urd	d͡ʒɛːt̪ˈuːn
سربیائی	urd	səɾbɪjˈɑːiː
آواز	urd	ɑːʋˈɑːz
حیوان	urd	ɦɛːʋˈɑːn
مچھلی	urd	mˈət͡ʃʰliː
جہاز	urd	d͡ʒəɦˈɑːz
کشتی	urd	kˈəʃt̪iː
سلام	urd	səlˈɑːm
گندہ	urd	ɡˈənd̪ɑː
سوچنا	urd	sˈoːt͡ʃnɑː
انگریز	urd	ə̃ŋɡɾˈeːd͡ʒ
آرام	urd	ɑːɾˈɑːm
مسجد	urd	mˈəsd͡ʒɪd̪
لڑکا	urd	lˈəɽkɑː
لڑکی	urd	lˈəɽkiː
شیشہ	urd	ʃˈiːʃɑː
خرگوش	urd	xəɾɡˈoːʃ
سسا	urd	sˈʊsːɑː
ذرا	urd	zˈəɾɑː
کھنڈیلوال	urd	kʰə̃ɳɖeːlʋˈɑːl
شویتا	urd	ʃʋˈeːt̪ɑː
یہاں	urd	jˈəɦɑː̃
پیشاب	urd	peːʃˈɑːb
آب	urd	ˈɑːb
اب	urd	ˈəb
نماز	urd	nəmˈɑːz
نان	urd	nˈɑːn
شاہین	urd	ʃɑːɦˈiːn
چیل	urd	t͡ʃˈiːl
گھڑیال	urd	ɡʱəɽɪjˈɑːl
مگر	urd	mˈəɡəɾ
موت	urd	mˈɔːt̪
قفس	urd	qˈəfəs
کھڑا	urd	kʰˈəɽɑː
ابھاو	urd	əbʱˈɑːʋ
ونا	urd	ʋˈɪnɑː
راجا	urd	ɾˈɑːd͡ʒɑː
پریہ	urd	pɾˈɪj
پراݨ	urd	pɾˈɑːɳ
پتا	urd	pˈɪt̪ɑː
نتیہ	urd	nˈɪt̪j
اہنسا	urd	əɦˈɪ̃sɑː
امرت	urd	ˈəmɾɪt̪
گیان	urd	d͡ʒɲˈɑːn
دوار	urd	d̪ʋˈɑːɾ
دیا	urd	d̪ˈəjɑː
دیہ	urd	d̪ˈeːɦ
بدھی	urd	bˈʊd̪ʱːɪ
سکھ	urd	sˈʊkʰ
سوریہ	urd	sˈuːɾj
ادھرم	urd	əd̪ʱˈəɾm
ابھے	urd	ˈəbʱɛj
انیک	urd	ənˈeːk
دوش	urd	d̪ˈoːʃ
کاریہ	urd	kˈɑːɾj
کشيتر	urd	kʃˈeːt̪ɾ
مان	urd	mˈɑːn
نیم	urd	nˈɪjəm
دھیان	urd	d̪ʱjˈɑːn
دیو	urd	d̪ˈeːʋ
بھگوان	urd	bʱəɡʋˈɑːn
پنڈت	urd	pˈəɳɖɪt̪
دکھ	urd	d̪ˈʊhkʰ
پريتن	urd	pɾəjˈət̪n
سنسکار	urd	sə̃skˈɑːɾ
گندھ	urd	ɡˈə̃n̪d̪ʱ
وبھاگ	urd	ʋɪbʱˈɑːɡ
سنیوگ	urd	sə̃jˈoːɡ
روپ	urd	ɾˈuːp
شبد	urd	ʃˈəbd̪
دودھ	urd	d̪ˈuːd̪ʱ
ہندوستانی	urd	ɦɪnd̪ʊst̪ˈɑːniː
چود	urd	t͡ʃˈoːd̪
وہاں	urd	ʋˈəɦɑː̃
برف	urd	bˈəɾf
میں	urd	mˈɛː̃
ہم	urd	ɦˈəm
یہ	urd	jˈəɦ
اس	urd	ˈɪs
ان	urd	ˈɪn
سے	urd	sˈeː
تک	urd	t̪ˈək
وہ	urd	ʋˈəɦ
وے	urd	ʋˈeː
کون	urd	kˈɔːn
نہیں	urd	nˈəɦiː̃
سب	urd	sˈəb
سارا	urd	sˈɑːɾɑː
سارہ	urd	sˈɑːɾɑː
بہت	urd	bˈəɦʊt̪
بڑا	urd	bˈəɽɑː
زیادہ	urd	zjˈɑːd̪ɑː
نظر	urd	nˈəzəɾ
لمبا	urd	lˈəmbɑː
چھوٹا	urd	t͡ʃʰˈoːʈɑː
عورت	urd	ˈɔːɾət̪
آدمی	urd	ˈɑːd̪miː
سوموار	urd	soːmʋˈɑːɾ
کا	urd	kˈɑː
کو	urd	kˈoː
نمستے	urd	nəmˈəst̪eː
ہاں	urd	ɦˈɑː̃
جی	urd	d͡ʒˈiː
گھر	urd	ɡʱˈəɾ
بنا	urd	bˈɪnɑː
دوتاواس	urd	d̪uːt̪ɑːʋˈɑːs
آواس	urd	ɑːʋˈɑːs
مادر	urd	mˈɑːd̪əɾ
قرآن	urd	qʊɾˈɑːn
یار	urd	jˈɑːɾ
ادویت	urd	əd̪ʋˈɛːt̪
دل	urd	d̪ˈɪl
بھوگول	urd	bʱuːɡˈoːl
آنا	urd	ˈɑːnɑː
آنہ	urd	ˈɑːnɑː
آم	urd	ˈɑːm
عام	urd	ˈɑːm
انت	urd	ˈə̃n̪t̪
جادو	urd	d͡ʒˈɑːd̪uː
چودنا	urd	t͡ʃˈoːd̪nɑː
آزاد	urd	ɑːzˈɑːd̪
کتاب	urd	kɪt̪ˈɑːb
کچھ	urd	kˈʊt͡ʃʰ
یونانی	urd	juːnˈɑːniː
اسلام	urd	ɪslˈɑːm
گردن	urd	ɡˈəɾd̪ən
موتر	urd	mˈuːt̪ɾ
چپاتی	urd	t͡ʃəpˈɑːt̪iː
گوشت	urd	ɡˈoːʃt̪
چادر	urd	t͡ʃˈɑːd̪əɾ
چابھی	urd	t͡ʃˈɑːbʱiː
چابی	urd	t͡ʃˈɑːbiː
تالی	urd	t̪ˈɑːliː
تالا	urd	t̪ˈɑːlɑː
ترازو	urd	t̪əɾˈɑːzuː
تلا	urd	t̪ˈʊlɑː
نابھی	urd	nˈɑːbʱɪ
پھول	urd	pʰˈuːl
ڈکار	urd	ɖəkˈɑːɾ
چوسنا	urd	t͡ʃˈuːsnɑː
چراغ	urd	t͡ʃɪɾˈɑːɣ
دیپ	urd	d̪ˈiːp
دیپک	urd	d̪ˈiːpək
دیپکا	urd	d̪ˈiːpɪkɑː
بات	urd	bˈɑːt̪
بتی	urd	bˈət̪ːiː
میٹھا	urd	mˈiːʈʰɑː
آنکھ	urd	ˈɑː̃kʰ
خوبصورت	urd	xˈuːbsuːɾət̪
کھلنا	urd	kʰˈɪlnɑː
قلم	urd	qˈələm
سندر	urd	sˈʊ̃n̪d̪əɾ
ہندوستان	urd	ɦɪnd̪ʊst̪ˈɑːn
عالم	urd	ˈɑːləm
دنیا	urd	d̪ˈʊnɪjɑː
دلی	urd	d̪ˈɪlːiː
پرش	urd	pˈʊɾʊʃ
ستری	urd	st̪ɾˈiː
بچہ	urd	bˈət͡ʃːɑː
پشو	urd	pˈəʃʊ
پودا	urd	pˈɔːd̪ʱɑː
منشیہ	urd	mənˈʊʃj
مستشک	urd	məst̪ˈɪʃk
من	urd	mˈən
شریر	urd	ʃəɾˈiːɾ
تن	urd	t̪ˈən
اچھا	urd	ˈɪt͡ʃʰːɑː
مرضی	urd	mˈəɾziː
سچائی	urd	sət͡ʃːˈɑːiː
ستیہ	urd	sˈət̪j
جھوٹ	urd	d͡ʒʱˈuːʈʰ
نیتگرنتھ	urd	niːt̪ɪɡɾˈə̃n̪t̪ʰ
باپ	urd	bˈɑːp
ماں	urd	mˈɑː̃
ماتا	urd	mˈɑːt̪ɑː
بیٹا	urd	bˈeːʈɑː
بیٹی	urd	bˈeːʈiː
بھائی	urd	bʱˈɑːiː
پتی	urd	pˈət̪ɪ
پتنی	urd	pˈət̪niː
ساہتیہ	urd	sɑːɦˈɪt̪j
روٹی	urd	ɾˈoːʈiː
کوفی	urd	kˈoːfiː
مکا	urd	mˈəkːɑː
مکہ	urd	mˈəkːɑː
گیہوں	urd	ɡˈeːɦuː̃
جو	urd	d͡ʒˈɔː
جئی	urd	d͡ʒˈəiː
کھادیہ	urd	kʰˈɑːd̪j
کیلا	urd	kˈeːlɑː
انناس	urd	ənənːˈɑːs
سبزی	urd	sˈəbziː
چیز	urd	t͡ʃˈiːz
دارو	urd	d̪ˈɑːɾuː
چائے	urd	t͡ʃˈɑːj
چاول	urd	t͡ʃˈɑːʋəl
شکر	urd	ʃˈəkːəɾ
وائن	urd	ʋˈɑːɪn
بیر	urd	bˈiːjəɾ
افریقا	urd	əfɾˈiːkɑː
انٹارٹکا	urd	ə̃ɳʈˈɑːɾʈɪkɑː
ایشیا	urd	ˈeːʃɪjɑː
یورپ	urd	juːɾˈoːp
امریکہ	urd	əmˈeːɾɪkɑː
ندی	urd	nˈəd̪iː
جھیل	urd	d͡ʒʱˈiːl
