قط	fas	qat
ایتالیایی	fas	ʔiː tɑː li jɑː jiː
ولاپوک	fas	vo lɑː puːk
انگریزی	fas	ʔaŋɡ ɾeː ziː
کاپوت	fas	kɑː puːt
لاستیک	fas	lɑːs tiːk
کا	fas	kɑː
دیش	fas	diːʃ
موتر	fas	moː taɾ
بنزین	fas	ben ziːn
اپریل	fas	ʔa pɾeːl
الماری	fas	ʔal mɑː ɾiː
عمارت	fas	ʔi maː rat
چوت	fas	t͡ʃoːt
گیت	fas	ɡeːt
متر	fas	metɾ
ید	fas	jod
خاوند	fas	xaː vand
بله	fas	ba le
آره	fas	ʔɑː ɾe
فامیل	fas	fɑː miːl
تلفن	fas	te le fon
بلاگ	fas	be lɑːɡ
کنیا	fas	keɲ jɑː
کمر	fas	kamaɾ
تلسکوپ	fas	te les kop
سونا	fas	so nɑː
آناکوندا	fas	ʔɑː nɑː kon dɑː
آلمان	fas	ʔɑːl mɑːn
اسلواکی	fas	ʔes lo vɑː kiː
ایتالیا	fas	ʔiː tɑː li jɑː
بلژیک	fas	bel ʒiːk
رومانی	fas	ɾuː mɑː niː
تایوان	fas	tɑːj vɑːn
ایسلند	fas	ʔiːs land
آمستردام	fas	ʔɑːms teɾ dɑːm
مسکو	fas	mos ko
داریوش	fas	dɑːɾ juːʃ
گردو	fas	ɡeɾ duː
رپ	fas	rap
مرسی	fas	meɾ siː
اتمی	fas	ʔa to miː
اتم	fas	ʔa tom
کویت	fas	kʊ vajt
لیبی	fas	liː biː
ژاپن	fas	ʒɑː pan
ژانویه	fas	ʒɑːɱ vi je
فوریه	fas	fev ɾi je
آوریل	fas	ʔɑːv ɾiːl
ژوئن	fas	ʒuː ʔan
ژوئیه	fas	ʒuː ʔi je
اوت	fas	ʔuːt
سپتامبر	fas	sep tɑːmb ɾ
اکتبر	fas	ʔok tobɾ
نوامبر	fas	no vɑːmb ɾ
دسامبر	fas	de sɑːmb ɾ
طوطی	fas	tuːtiː
ژاپنی	fas	ʒɑː po niː
دکتر	fas	dok toɾ
الان	fas	ʔa lɑːn
قارچ	fas	qaːrt͡ʃ
آناناس	fas	ʔɑː nɑː nɑːs
هلو	fas	ho luː
پرتقال	fas	poɾ to ʁɑːl
سوسک	fas	suːsk
دوچرخه	fas	do t͡ʃaɾ xe
آدرس	fas	ʔɑːd ɾes
کامپیوتر	fas	kɑːm pi juː teɾ
رایانه	fas	ɾɑː jɑː ne
کارت	fas	kɑːɾt
اتوبوس	fas	ʔo to buːs
فوتبال	fas	fuːt bɑːl
اسکناس	fas	ʔes ke nɑːs
سینما	fas	siː na mɑː
کاراته	fas	kɑː ɾɑː ta
تنیس	fas	te niːs
گلف	fas	ɡolf
روسری	fas	ɾuː sa ɾiː
هتل	fas	ho tel
هلند	fas	ho land
سوئد	fas	suː ʔed
ماداگاسکار	fas	mɑːdɑːɡɑːskɑːɾ
آنکارا	fas	ʔɑːŋ kɑː ɾɑː
رژیم	fas	ɾe ʒiːm
کت	fas	kot
آواکادو	fas	ʔɑː vɑː kɑː do
سانسور	fas	sɑːn suːɾ
مکانیک	fas	mɪ kɑː niːk
بژ	fas	beʒ
کریسمس	fas	kɪ ɾiːs mas
مامان	fas	mɑː mɑːn
پوتین	fas	puː tiːn
اسپاگتی	fas	ʔɪs pɑː ɡɪ tiː
الکل	fas	ʔal kol
رستوران	fas	ras tuː ɾɑːn
رادیو	fas	rɑː di joː
آپارتمان	fas	ʔɑː pɑːɾ te mɑːn
تمبر	fas	tamb ɾ
شیک	fas	ʃiːk
مانتو	fas	mɑːn to
پروژه	fas	pʊ ɾoː ʒa
کافه	fas	kɑː fe
گاراژ	fas	ɡɑː ɾɑːʒ
مبل	fas	mobl
وانیل	fas	vɑː niːl
پیتزا	fas	piːt zɑː
ترافیک	fas	te ɾɑː fiːk
لیسانس	fas	liː sɑːns
پکن	fas	pe kan
ژاکت	fas	ʒɑː kat
زگیل	fas	za ɡiːl
ژله	fas	ʒele
ژامبون	fas	ʒɑːm bon
ژن	fas	ʒen
ژست	fas	ʒest
مولکول	fas	mo le kuːl
شیمی	fas	ʃiː miː
عصب	fas	ʔa sab
آلبانی	fas	ʔɑːl bɑː niː
بیولوژی	fas	bi jo lo ʒiː
فیلم	fas	fiːlm
تلویزیون	fas	tal viː zjuːn
شانس	fas	ʃɑːns
سنا	fas	se nɑː
بالکن	fas	bɑːl kʊn
بشکه	fas	boʃ ke
ژنرال	fas	ʒeneɾɑːl
کودتا	fas	kuːdetɑː
کراوات	fas	ke ɾɑː vɑːt
واکسن	fas	vɑːk san
کاندوم	fas	kɑːn dom
آسانسور	fas	ʔɑː sɑːn soɾ
واژن	fas	vɑː ʒan
چکر	fas	t͡ʃa kaɾ
امرود	fas	ʔam ruːd
بورس	fas	buːrs
کابینه	fas	kɑː biː ne
شکلات	fas	ʃʊ kʊ lɑːt
نپال	fas	ne pɑːl
ویلا	fas	viː laː
بوفه	fas	buː fe
آژان	fas	ʔɑː ʒɑːn
دسر	fas	de seɾ
بستنی	fas	bas ta niː
انرژی	fas	ʔe neɾ ʒiː
النگو	fas	ʔa laŋ ɡuː
متد	fas	me tod
لامپ	fas	lɑːmp
