وراشه	pus	wrɑʃa
وگړپال	pus	waɡarpɑl
آرپوهه	pus	ɑrpoha
استازليک	pus	ast̪ɑzlik
باجپازی	pus	bad͡ʒpɑzaj
پېيون	pus	pejun
بډمانيز	pus	baɖmɑniz
لمر	pus	lmar
پاڼه	pus	paɳa
بشپړ	pus	baʃpaɻ
اند	pus	and̪
هلک	pus	halək
بريا	pus	barjɑ
ابدي	pus	abad̪i
اتلولي	pus	at̪alwali
اندېښمن	pus	and̪eʂman
سترگه	pus	st̪ərɡa
ورينگی	pus	wrinɡaj
بېلگه	pus	belɡa
اسپه	pus	aspa
بوټپوهنه	pus	buʈpohana
بېخبنا	pus	bexbenɑ
سپين	pus	spin
تور	pus	t̪or
اړاند	pus	aɻɑnd̪
اورتون	pus	ort̪un
پرښته	pus	parast̪a
اوربند	pus	orband̪
اوبتل	pus	obt̪al
بدمرغه	pus	bad̪marɣa
ازمېښتون	pus	azmeʂt̪t̪un
آبېڅې	pus	abet͡se
آرمل	pus	ɑrmal
اروپاگروهی	pus	ɑrupɑɡrohaj
آرياني	pus	ɑrjɑni
برخمن	pus	barxman
اتييزه	pus	at̪ajiza
اټكلبڼه	pus	aʈkalbaɳa
اټكلشمېر	pus	aʈkalʃmer
احتجاجليك	pus	eht̪ed͡ʒɑd͡ʒlik
اخځ	pus	axad͡z
اخځليك	pus	axad͡zlik
اخستونځی	pus	axist̪und͡zaj
اخېسته	pus	axist̪a
ادبپوه	pus	ad̪abpoh
ادبپوهاند	pus	ad̪abpohɑnd̪
ادبپوهنه	pus	ad̪appohana
ادبمين	pus	ad̪abmajən
اډانه	pus	aɖɑna
اډانيز	pus	aɖɑniz
ارامځاى	pus	arɑmd͡zaj
ارتېلځى	pus	art̪ejald͡zaj
ارز	pus	arz
ارزانبيه	pus	arzanbaja
ارزپاڼه	pus	arzpɑɳa
ارزښت	pus	arzaʂt̪
ارزښتمن	pus	arzaʂman
ارزول	pus	arzawal
ارزونه	pus	arzawana
آرليك	pus	ɑrlik
ارمانژلى	pus	armɑnʒalaj
ارماني	pus	armɑni
انگيرواله	pus	anɡerwɑla
ارواپوهنه	pus	arwapohana
ارواښاد	pus	arwɑʂɑd̪
اروالېږد	pus	arwɑleʐd̪
آرينزى	pus	ɑrjanzaj
آرينمل	pus	ɑɻjanmal
اړپېچ	pus	aɻpet͡ʃ
اړپېچن	pus	aɻpet͡ʃan
اړتون	pus	aɻt̪un
اړتياوړ	pus	aɻt̪jɑwaɻ
اړخن	pus	aɻxan
آړليك	pus	ɑɻlik
آړمرستيالكړ	pus	aɻmrast̪jɑlkaɻ
اړنگلاندې	pus	aɻanɡlɑnd̪e
اړنگمن	pus	aɻanɡman
اړوپېچ	pus	aɻopet͡ʃ
آړوتى	pus	ɑɻwət̪aj
اړوند	pus	aɻwand̪
اړوندي	pus	aɻwand̪i
اړيكپېر	pus	aɻikper
اړيكغونډله	pus	aɻikɣonɖla
اړيكلار	pus	aɻiklɑr
اړيكن	pus	aɻikan
اړيكنومځرى	pus	aɻiknumd͡zaraj
اړيكوييكى	pus	aɻikwajikaj
اړيكى	pus	aɻikaj
اړين	pus	aɻin
آزاديوال	pus	azɑd̪iwɑl
آزاديواله	pus	azɑd̪iwɑla
ازمون	pus	azmun
ازموينځى	pus	azmojand͡zaj
ازموينه	pus	azmojana
ازمېښتځى	pus	azmeʂt̪d͡zaj
ازمېښتكار	pus	azmeʂt̪kɑr
ازمېښتي	pus	azmeʂt̪i
اسانخوښى	pus	asɑnxwaʂaj
استازگرانه	pus	ast̪ɑzɡarɑna
استازگري	pus	ast̪ɑzɡari
استازندوى	pus	ast̪ɑzand̪oj
استوگنغونډ	pus	ast̪oɡanɣanɖ
استوگنيز	pus	ast̪oɡaniz
اسمانڅك	pus	asmɑnt͡sak
اسمانلار	pus	asmɑnlɑr
آسپور	pus	ɑsspor
استازليك	pus	ast̪ɑzlik
آسمنډه	pus	ɑsmənɖa
اشواگر	pus	aʃwɑɡar
اشواگري	pus	eʃwɑɡari
اغزن	pus	aɣzan
اغېزمن	pus	aɣezman
اغېزمنى	pus	aɣezmanaj
اغېزمني	pus	aɣezmani
اكر	pus	akar
اگاهانه	pus	aɡɑhɑna
اگسا	pus	aɡsɑ
الواك	pus	alwɑk
الواكي	pus	alwɑki
امرل	pus	amral
امرنه	pus	amrana
امرونكى	pus	amrunkaj
امرنې	pus	amrane
انځوراند	pus	and͡zorɑnd̪
انځورگر	pus	and͡zorɡar
انځورگري	pus	and͡zorɡari
انځورل	pus	and͡zoral
انځوروال	pus	and͡zorwɑl
انځورواله	pus	and͡zorwɑla
انځوريز	pus	and͡zoriz
اندپوهه	pus	and̪poha
اندپوهيز	pus	and̪pohiz
انددود	pus	and̪d̪od̪
اندل	pus	and̪al
اندليك	pus	and̪lik
اندنه	pus	and̪ana
اندوړ	pus	and̪waɻ
اندوژوند	pus	and̪oʒwand̪
انده	pus	and̪a
اندي	pus	and̪i
انديال	pus	and̪jɑl
انديز	pus	and̪iz
انگيالواک	pus	anɡialwɑk
انډولتيا	pus	anɖwalt̪jɑ
انگيروال	pus	anɡerwɑl
انډولۍ	pus	anɖolaj
انگيريال	pus	anɡerjɑl
انگينوم	pus	anɡinum
انگازور	pus	anɡɑzawar
انگينومپوهه	pus	anɡinumpoha
انگازه	pus	anɡɑza
انگينوميز	pus	anɡinomiz
انگچار	pus	anɡt͡ʃɑr
انگروزه	pus	anɡroza
اوبدانځى	pus	obd̪ɑnd͡zaj
اوبدانه	pus	obd̪ɑna
اوبرسونه	pus	obrasawana
اوبپاڼه	pus	obpɑɳa
اوبسپى	pus	obspaj
اوبسمون	pus	obsamun
اوبلوبه	pus	obloba
اوببخره	pus	obbaxra
اوبپوهنه	pus	obpohana
اوبكښ	pus	obkaʂ
اوبلنباب	pus	oblanbɑb
اوبمېچ	pus	obmet͡ʃ
اوبخوڅه	pus	obxut͡sa
اوبن	pus	oban
اوبوړى	pus	obwaɻaj
اورپک	pus	orpak
اوبوېش	pus	wbweʃ
اوبوېشگر	pus	obweʃɡar
اورگاډى	pus	orɡɑɖaj
اورگډى	pus	orɡaɖaj
اوڅنډ	pus	owt͡sanɖ
اوډون	pus	oɖun
اوډونكى	pus	oɖunkaj
اورلگاوى	pus	orlaɡɑwaj
اوربل!	pus	orbal
اوربېړۍ	pus	orbeɻaj
اورلگيد	pus	orlaɡid̪
اوړن	pus	awɻan
اورنى	pus	oranaj
اوړون	pus	awɻun
اوړونى	pus	awɻunaj
اوروژنه	pus	orwaʒana
اورېدا	pus	awred̪ɑ
اوزار	pus	awzɑr
اوريز	pus	awriz
اوږد-و	pus	uʐd̪wɑw
اورين	pus	orin
اوسند	pus	osand̪
اوښتن	pus	awuʂt̪an
اوښتني	pus	awuʂt̪ani
اوښتون	pus	awuʂt̪un
اوښتيايي	pus	awʂt̪jɑji
اوستربل	pus	ust̪arbal
اوښسپرلي	pus	uʂsparli
اوښسپور	pus	uʂspor
اوښغويى	pus	uʂɣwajaj
اوښكينى	pus	uʂkinaj
اوسمهال	pus	osmahɑl
اوښمرغه	pus	uʂmarɣaj
اووريز	pus	owriz
اوونيزه	pus	owniza
ايرنۍ	pus	iranəj
اېښونى	pus	eʂunaj
بابربڼ	pus	bɑbərbaɳ
بامنه	pus	bɑməna
باميال	pus	bɑmjɑl
بانډيڅی	pus	bɑnd̪it͡si
باجپازى	pus	bad͡ʒpɑzaj
بهير	pus	bahir
باورراى	pus	bɑwarrɑj
بادماتى	pus	bɑd̪mɑt̪aj
باوري	pus	bɑwari
بادپوهنه	pus	bɑd̪pohəna
بارچلند	pus	bɑrt͡ʃaland̪
بارگاډى	pus	bɑrɡɑɖaj
بختيالى	pus	baxt̪jɑlaj
بخرور	pus	baxrawɑr
بدري	pus	bad̪ri
بداندى	pus	bad̪and̪aj
بدبولى	pus	bad̪bolaj
بدسترگى	pus	bad̪st̪ərɡaj
بدبولي	pus	bad̪boli
بدسترگي	pus	bad̪st̪ərɡi
بدگوماني	pus	bad̪ɡomɑni
بدگڼه	pus	bad̪ɡəɳa
بدلبوله	pus	bad̪albola
بدلمېچ	pus	bad̪almet͡ʃ
بدلوښى	pus	bad̪loʂaj
بدلوښي	pus	bad̪loʂi
بډن	pus	baɖan
بدنيتى	pus	bad̪njat̪aj
بدنيتي	pus	bad̪njat̪i
بډواله	pus	baɖwɑla
بدوردى	pus	bad̪ward̪aj
بدوين	pus	bad̪win
بډوالى	pus	baɖwɑlaj
بډايينه	pus	baɖɑjəna
بډويى	pus	baɖwajaj
بډيخور	pus	baɖixor
بربڼ	pus	barbaɳ
برتيايي	pus	bart̪jɑji
برخليك	pus	barxlik
بډبول	pus	baɖbol
بډگوند	pus	baɖɡwanɖ
برخليكواله	pus	barxlikwɑla
برخوال	pus	barxwɑl
برمانټه	pus	barmɑnʈa
برخيز	pus	barxiz
برماڼو	pus	barmɑɳu
برسېراند	pus	barseɑnd̪
برسېرونه	pus	barserawana
برغمن	pus	barɡaman
برگړندى	pus	barɡaɻand̪aj
برلاسى	pus	barlɑsaj
برمن	pus	braman
برميالى	pus	bramjɑlaj
برواله	pus	barwɑla
آرم	pus	ɑrm
آسپه	pus	ɑspa
آمودود	pus	ɑmud̪ud̪
استقامت	pus	ist̪iqɑmat̪
اسکېلوی	pus	askelwaj
بريالى	pus	barjɑlaj
برېځر	pus	bared͡zar
بريدگر	pus	brid̪ɡar
بريديز	pus	brid̪iz
بريدگى	pus	brid̪ɡaj
برېښنابند	pus	breʂnɑband̪
بريښناربځ	pus	breʂnɑrabad͡z
بريدوالى	pus	brid̪walaj
بسى	pus	basaj
بسياينه	pus	basjɑjana
بريښنايونى	pus	breʂnɑjunaj
بريكوټ	pus	barikoʈ
بريليك	pus	barajlik
بشپړاند	pus	baʃpaɻɑnd̪
بړېڅى	pus	baɻet͡saj
بسپنغاړى	pus	baspanɣɑɻaj
بسنه	pus	basana
بسنی	pus	basanaj
بشپړتیایي	pus	baʃpaɻt̪jɑji
بښاند	pus	baʂɑnd̪
بشپړوال	pus	baʃpaɻwɑl
بشپړواله	pus	baʃpaɻwɑla
بښاوو	pus	baʂɑwu
بلاند	pus	balɑnd̪
بلځايي	pus	bald͡zɑji
بلغږ	pus	balɣaʐ
بلگړ	pus	balɡaɻ
بلنپېر	pus	balanper
بلندره	pus	bland̪ra
بلنليك	pus	balanlik
بلننښه!	pus	balannaʂa
بلهار	pus	balhɑr
بلهارځى	pus	balhɑrd͡zaj
بلهاري	pus	balhɑri
بلواكي	pus	balwiki
بلوژنه	pus	bəlwaʒə
بلوساك	pus	blosɑk
بلوسگر	pus	blosɡar
بلوسگرانه	pus	blosɡarɑna
بلېگده	pus	baleɡd̪a
بندروال	pus	band̪arwɑl
بندروالي	pus	band̪arwɑli
بوكلى	pus	bukalaj
بلون	pus	balun
بندگړ	pus	band̪ɡaɻ
بنديز	pus	band̪iz
بنډارځى	pus	banɖɑrd͡zaj
بڼكلوبه	pus	baɳakloba
بڼكه	pus	baɳka
بڼوال	pus	baɳwɑl
بنډاري	pus	banɖɑri
بنسټپال	pus	bansaʈpɑl
بنسټپالنه	pus	bansaʈpɑlana
بڼوالي	pus	baɳwɑli
بڼيالى	pus	baɳjɑlaj
بوټپاك	pus	buʈpɑk
بنسټگړ	pus	bansaʈɡaɻ
بنسټوال	pus	bansaʈwɑl
بنسټيز	pus	bansaʈiz
بوټپوهاند	pus	buʈpohɑnd̪
بوټني	pus	buʈani
بوټياڼه	pus	buʈjɑɳa
بودتون	pus	bod̪at̪un
بورڼي	pus	borɳi
بولۍ	pus	bolaj
بوياره	pus	bujɑra
بوږند	pus	boʐand̪
بهرنى	pus	baharanaj
بهرونه	pus	baharawana
بهنځ	pus	bahand͡z
بولـله	pus	bolala
بولنتون	pus	bolant̪un
بولندوى	pus	boland̪oj
بولندويى	pus	boland̪oji
بيابانگرځى	pus	bjɑbɑnɡard͡zaj
بلوسنه	pus	blosana
بولنه	pus	bolana
بيازېږد	pus	bjɑzeʐd̪
بياژواكي	pus	bjɑʒwɑki
بېوړه	pus	bewaɻa
بېواكېدنه	pus	bewɑked̪ana
بېواكوږى	pus	bewɑkwaʐaj
بېواكبڼه	pus	bewakbaɳa
بېلوره	pus	belawra
بېلواله	pus	belwɑla
بېلنگ	pus	belanɡ
بېلگاو	pus	belɡɑw
بېلارې	pus	belɑre
بېلاري	pus	belɑri
بېلتونپال	pus	belt̪unpɑl
بېلتونپالنه	pus	belt̪unpɑlana
