آئينو	aːiːnoː
آب	aːbʊ
آبشار	aːbəʃaːɾə
آبشارَ	aːbəʃaːɾə
آدمي	aːd̪əmiː
آرام	aːɾaːmʊ
آرسي	aːɾɪsiː
آزاد	aːzaːd̪ʊ
آس	aːsə
آسمان	aːsmaːnʊ
آفيس	aːfiːsə
آنو	aːnoː
آنڊو	aːɳɖoː
آهي	aːheː
آواز	aːʋaːzʊ
آچر	aːt͡ʃəɾʊ
آچَرُ	aːt͡ʃəɾʊ
آکاڙ	aːkʰaːɽʊ
آکاڙو	aːkʰaːɽoː
آکاڙُ	aːkʰaːɽʊ
آکيرو	aːkʰeːɾoː
آکڻ	aːkʰəɳʊ
آگ	aːɡɪ
اجازت	ɪd͡ʒaːzət̪ə
اجرڪ	əd͡ʒɪɾəkə
احمد آباد	əhəməd̪aːbaːd̪ɪ
اخبار	əxbaːɾə
اداس	ʊd̪aːsʊ
ادب	əd̪əbʊ
ادجن	ʊd̪əd͡ʒənə
ادرڪ	əd̪ɾəkə
ادو	əd̪oː
ارادو	ɪɾaːd̪oː
ارب	əɾəbʊ
اربع	əɾbaː
استاد	ʊst̪aːd̪ʊ
اسد	əsəd̪ʊ
اسلام	ɪslaːmʊ
اسو	əsuː
اسي	əsiː
اسپتال	ɪspət̪aːlɪ
اسڪول	skuːlʊ
اقامت	ɪqaːmət̪ə
اقتصادي	ɪqt̪ɪsaːd̪iː
الماڙي	əlmaːɽiː
امانت	əmaːnət̪ə
امتحان	ɪmt̪ɪhaːnʊ
اميد	ʊmeːd̪ə
امير	əmiːɾʊ
امڪان	ɪmkaːnʊ
انار	ənaːɾʊ
اناناس	ənaːnaːsʊ
انب	əmbʊ
انتظار	ɪnt̪ɪzaːɾʊ
اندر	ənd̪əɾʊ
انسان	ɪnsaːnʊ
انچلو	əɲt͡ʃɪloː
انڌو	ənd̪ʰoː
انگ	əŋɡʊ
اهو	ɪhoː
اَربَع	əɾbaː
اَرتَوارُ	əɾt̪əʋaːɾʊ
اَٺَ	əʈʰə
اَڇو	ət͡ʃʰoː
اَکِ	əkʰɪ
اَڱارو	əŋaːɾoː
اُستادو	ʊst̪aːd̪ʊ
اُستادَ	ʊst̪aːd̪ʊ
اُستادُ	ʊst̪aːd̪ʊ
اُهو	ʊhoː
اُٺُ	ʊʈʰʊ
اِجازَتَ	ɪd͡ʒaːzət̪ə
اِهو	ɪhoː
اٺ	əʈʰə
اٻاسي	ʊɓaːsiː
اپريل	əpɾeːlʊ
اپسمنڊ	ʊpəsəmʊɳɖʊ
اڀو	ʊbʰoː
اڀڻ	ʊbʰəɳʊ
اڄ	əʄʊ
اچڻ	ət͡ʃəɳʊ
اڇلائڻ	ʊt͡ʃʰɪlaːɪɳʊ
اڇو	ət͡ʃʰoː
اڌ	əd̪ʰʊ
اڏام	ʊɗaːmə
اڏرڻ	ʊɗɪɾəɳʊ
اڏوهي	ʊɗoːhiː
اک	əkʰɪ
اکر	əkʰəɾʊ
اکري	ʊkʰɪɾiː
اڪيلو	əkeːloː
اگھڻ	ʊɡʰəɳʊ
اڱارو	əŋaːɾoː
اڱڻ	əŋəɳʊ
اڳلو	əɠɪloː
اڳي	əɠiː
بابو	baːboː
باز	baːzʊ
باسڻ	baːsəɳʊ
باغ	baːɣʊ
باغُ	baːɣʊ
باندر	baːnd̪əɾʊ
باھه	baːhɪ
بت	bʊt̪ʊ
بتي	bət̪iː
بجلي	bɪd͡ʒɪliː
بحث	bəhɪsʊ
بدڪ	bəd̪əkə
برابر	bəɾaːbəɾɪ
براهمڻ	bɾaːhəməɳʊ
برف	bəɾfə
برفي	bəɾfiː
بسنت	bəsənt̪ʊ
بصر	bəsəɾʊ
بغل	bəɣəlʊ
بلا	bəlaː
بلڪل	bɪlkʊlʊ
بمبئي	bəmbəiː
به	bɪ
بهار	bəhaːɾə
بوتل	boːt̪ələ
بورچيخانو	boːɾt͡ʃiːxaːnoː
بورڊ	boːɾɖʊ
بيگم	beːɡəmə
بيگَمَ	beːɡəmə
بَحِثُ	bəhɪsʊ
بَدَڪَ	bəd̪əkə
بَلا	bəlaː
بَڊو	bəɖoː
بِه	bɪ
بڊو	bəɖoː
تار	t̪aːɾə
تارو	t̪aːɾoː
تاريخ	t̪aːɾiːxə
تارَ	t̪aːɾə
تاڪيد	t̪aːkiːd̪ə
تخت	t̪əxt̪ʊ
ترڻ	t̪əɾəɳʊ
تفسير	t̪əfsiːɾʊ
تمام	t̪əmaːmʊ
تنبو	t̪əmbuː
ته	t̪ə
تهاڙو	t̪ɪhaːɽoː
تو	t̪oː
توري	t̪uːɾiː
توڙي	t̪oːɽeː
تي	t̪eː
تيلُ	t̪eːlʊ
تَخْتُ	t̪əxt̪ʊ
تَمامُ	t̪əmaːmʊ
تَه	t̪ə
تٿ	t̪ɪt̪ʰʊ
تکو	t̪ɪkʰoː
تیز	t̪eːzʊ
جئڻ	d͡ʒɪəɳʊ
جادوگر	d͡ʒaːd̪uːɡəɾʊ
جافر	d͡ʒaːfəɾʊ
جاچڻ	d͡ʒaːt͡ʃəɳʊ
جاڳڻ	d͡ʒaːɠəɳʊ
جبل	d͡ʒəbəlʊ
جتي	d͡ʒʊt̪iː
جزڻ	d͡ʒʊzəɳʊ
جمعو	d͡ʒʊmoː
جناب	d͡ʒənaːbʊ
جنازو	d͡ʒənaːzoː
جنم	d͡ʒənəmʊ
جنڊ	d͡ʒəɳɖʊ
جهاز	d͡ʒəhaːzʊ
جو	d͡ʒoː
جويو	d͡ʒoːjoː
جوڙو	d͡ʒoːɽoː
جوکم	d͡ʒoːkʰɪmʊ
جوکو	d͡ʒoːkʰoː
جي	d͡ʒeː
جيئڻ	d͡ʒiːəɳʊ
جيرو	d͡ʒeːɾoː
جُمعو	d͡ʒʊmoː
جگر	d͡ʒɪɡəɾʊ
جھلڻ	d͡ʒʰələɳʊ
جھنڊو	d͡ʒʰəɳɖoː
جھنگ	d͡ʒʰəŋɡʊ
حجاب	hɪd͡ʒaːbʊ
حجام	həd͡ʒaːmʊ
حرڪت	həɾkət̪ə
حضرت	həzɾət̪ʊ
حملو	həmloː
حور	huːɾə
حوض	hɔːzʊ
خدا	xʊd̪aː
خراب	xəɾaːbʊ
خرمو	xʊɾmoː
خط	xət̪ʊ
خطا	xət̪aː
خلق	xəlqʊ
خميس	xəmiːsə
خوراڪ	xoːɾaːkə
خيال	xɪaːlʊ
خَرابُ	xəɾaːbʊ
خَطا	xət̪aː
خچر	xət͡ʃəɾʊ
دادو	d̪aːd̪oː
در	d̪əɾʊ
دري	d̪əɾiː
دعا	d̪ʊaː
دغا	d̪əɣaː
دفتر	d̪əft̪əɾʊ
دل	d̪ɪlɪ
دلال	d̪əlaːlʊ
دلچسپ	d̪ɪlət͡ʃəspʊ
دماغ	d̪ɪmaːɣʊ
دوست	d̪oːst̪ʊ
ديول	d̪eːʋəlɪ
ديوناگري	d̪eːʋənaːɡɪɾiː
ديوي	d̪eːʋiː
دَغا	d̪əɣaː
دَفتَرُ	d̪əft̪əɾʊ
دُعا	d̪ʊaː
دڪان	d̪ʊkaːnʊ
ذات	zaːt̪ə
رات	ɾaːt̪ɪ
راتِ	ɾaːt̪ɪ
راجا	ɾaːd͡ʒaː
راجپوت	ɾaːd͡ʒəpuːt̪ʊ
راشٽر پتي	ɾaːʃʈɾəpət̪iː
رامائِڻُ	ɾaːmaːɪɳʊ
رامائڻ	ɾaːmaːɪɳʊ
راڪس	ɾaːkəsʊ
راڻي	ɾaːɳiː
رت	ɾət̪ʊ
رستو	ɾəst̪oː
رسو	ɾəsoː
رمضان	ɾəmzaːnʊ
رنگ	ɾəŋɡʊ
رهائڻ	ɾəhaːɪɳʊ
رهڻ	ɾəhəɳʊ
روزو	ɾoːzoː
روشن	ɾoːʃənʊ
روشني	ɾoːʃəniː
روشَنُ	ɾoːʃənʊ
روپو	ɾoːpoː
ريت	ɾiːt̪ɪ
ريل	ɾeːlə
ريکا	ɾeːkʰaː
رَتُ	ɾət̪ʊ
رَنْگُ	ɾəŋɡʊ
رَهائِڻُ	ɾəhaːɪɳʊ
رَهَڻُ	ɾəhəɳʊ
رپو	ɾʊpoː
ریشم	ɾeːʃəmʊ
زال	zaːlə
زالَ	zaːlə
زبان	zʊbaːnə
زلزلو	zəlzəloː
زمين	zəmiːnə
زمین	zəmiːnə
زندگي	zɪnd̪əɡiː
زيتون	zeːt̪uːnʊ
سؤ	səʊ
سئي	sʊiː
سائو	saːoː
سال	saːlʊ
سالو	saːloː
سانچو	saːɲt͡ʃoː
ساهت	saːhɪt̪ʊ
ساٿ	saːt̪ʰʊ
ساٿي	saːt̪ʰiː
ساڙھي	saːɽʰiː
ساگر	saːɡəɾə
سبڻ	sɪbəɳʊ
ست	sət̪ə
ستر	sət̪əɾɪ
سج	sɪd͡ʒʊ
سخي	səxiː
سر	sɪɾʊ
سراڻو	sɪɾaːɳoː
سرنامو	səɾənaːmoː
سرير	səɾiːɾʊ
سريش	sʊɾeːʃʊ
سزا	səzaː
سس	səsʊ
سلام	səlaːmʊ
سلطان	sʊlt̪aːnʊ
سمبوسو	səmboːsoː
سمنڊ	səmʊɳɖʊ
سمهڻ	sʊməhəɳʊ
سمورو	səmuːɾoː
سنهو	sənhoː
سنيهو	səneːhoː
سنيهڙو	səneːhəɽoː
سنڌ	sɪnd̪ʰʊ
