آئي	aːiː
آئينو	aːiːnoː
آئيويٽا	aːiːʋeːʈaː
آئٺو	aːɪʈʰoː
آئٽڻ	aːʊʈᵊɳʊ
آئڙڻ	aːʊɽᵊɳʊ
آب	aːbʊ
آبائتو	aːbaːɪt̪oː
آباد	aːbaːd̪ʊ
آبادي	aːbaːd̪iː
آباسي	aːbaːsiː
آبخورو	aːbxoːɾoː
آبنوس	aːbnuːsʊ
آبي	aːbiː
آت	aːt̪ʊ
آتارڻ	aːt̪aːɾᵊɳʊ
آتسباجي	aːt̪ᵊsbaːd͡ʒiː
آتو	aːt̪oː
آتڻ	aːt̪ᵊɳʊ
آج	aːd͡ʒʊ
آجار	aːd͡ʒaːɾʊ
آجارائي	aːd͡ʒaːɾᵊiː
آجاري	aːd͡ʒaːɾiː
آجج	aːd͡ʒʊd͡ʒʊ
آجو	aːd͡ʒoː
آجيگر	aːd͡ʒiːɡᵊɾʊ
آجڪو	aːd͡ʒɪkoː
آد	aːd̪ɪ
آدئو	aːd̪ᵊuː
آداب	aːd̪aːbʊ
آدر	aːd̪ᵊɾʊ
آدمي	aːd̪ɪmiː
آدي	aːd̪iː
آر	aːɾᵊ
آراستو	aːɾaːst̪oː
آرام	aːɾaːmʊ
آرامي	aːɾaːmiː
آرانڀو	aːɾaːmbʰoː
آراڌڻ	aːɾaːd̪ʰᵊɳʊ
آراڙو	aːɾaːɽoː
آرتي	aːɾᵊt̪iː
آرجا	aːɾd͡ʒaː
آرس	aːɾɪsʊ
آرسائتو	aːɾɪsaːɪt̪oː
آرسائڻ	aːɾsaːɪɳʊ
آرسي	aːɾɪsiː
آرنڀ	aːɾᵊmbʰʊ
آرنڀڻ	aːɾᵊmbʰᵊɳʊ
آرو	aːɾoː
آروبلو	aːɾoːbᵊloː
آروپار	aːɾoːpaːɾɪ
آروڙو	aːɾoːɽoː
آروڙڻ	aːɾoːɽᵊɳʊ
آريٺو	aːɾiːʈʰoː
آرپار	aːɾpaːɾɪ
آرڪم	aːɾkᵊmʊ
آزمائڻ	aːzmaːɪɳʊ
آزمدو	aːzmʊd̪oː
آس	aːsᵊ
آسا	aːsaː
آسائتو	aːsaːɪt̪oː
آسائو	aːsaːuː
آسات	aːsᵊt̪ɪ
آسامي	aːsaːmiː
آساپري	aːsaːpʊɾiː
آستين	aːst̪iːnᵊ
آسر	aːsᵊɾᵊ
آسرو	aːsɪɾoː
آسمان	aːsmaːnʊ
آسماني	aːsmaːniː
آسودو	aːsuːd̪oː
آسيس	aːsiːsᵊ
آسٿانو	aːst̪ʰaːnoː
آسگنڌ	aːsɡᵊnd̪ʰʊ
آسڻ	aːsᵊɳʊ
آفيم	aːfiːmʊ
آفيمي	aːfiːmiː
آل	aːlᵊ
آلائڻ	aːlaːɪɳʊ
آلاپ	aːlaːpʊ
آلاپڻ	aːlaːpᵊɳʊ
آلس	aːlɪsʊ
آلسائتو	aːlɪsaːɪt̪oː
آلسائڻ	aːlɪsaːɪɳʊ
آلسي	aːlɪsiː
آلسيپنڙو	aːlɪsiːpɪɳɽoː
آلو	aːloː
آلوڀولو	aːloːbʰoːloː
آلڙ	aːlʊɽʊ
آلڙڻ	aːlʊɽᵊɳʊ
آماس	aːmaːsʊ
آماسجڻ	aːmaːsɪd͡ʒᵊɳʊ
آمو	aːmoː
آمي	aːmiː
آمڙي	aːmɪɽiː
آمڻ	aːmɪɳʊ
آنر	aːnɪɾʊ
آنندي	aːnᵊnd̪iː
آنو	aːnoː
آنورو	aːnuːɾoː
آني	aːniː
آنٽ	aːɳʈᵊ
آنٽو	aːɳʈoː
آنچي	aːɲt͡ʃiː
آنچيڦول	aːɲt͡ʃiːpʰuːlᵊ
آنڊو	aːɳɖoː
آنڌارو	aːnd̪ʰaːɾoː
آنڌاري	aːnd̪ʰaːɾiː
آنڪ	aːŋkᵊ
آنڪار	aːŋkaːɾᵊ
آنڪارڻ	aːŋkaːɾᵊɳʊ
آنڪر	aːŋkᵊɾᵊ
آنگاس	aːŋɡaːsʊ
آنگاسي	aːŋɡaːsiː
آها	aːhaː
آهت	aːhᵊt̪ʊ
آهتي	aːhᵊt̪iː
آهر	aːhᵊɾᵊ
آهري	aːhɪɾiː
آهرڻ	aːhᵊɾᵊɳʊ
